t,transactions_transfers_volume_miners_net
2011-06-03,-2498.500850619199
2011-06-04,-1115.666205760699
2011-06-05,-969.5419290049012
2011-06-06,-4955.303342295698
2011-06-07,-5667.867610836702
2011-06-08,-9118.586763210944
2011-06-09,-12355.547667798503
2011-06-10,-4388.652293995699
2011-06-11,-24281.2790218221
2011-06-12,-4248.823794052902
2011-06-13,-27546.0013296927
2011-06-14,-18397.60014185791
2011-06-15,-7682.272404652602
2011-06-16,-37073.00602710151
2011-06-17,-5700.5246328219
2011-06-18,1261.5899387351292
2011-06-19,-10155.88544337719
2011-06-20,-3992.189097845967
2011-06-21,2476.3033294420984
2011-06-22,187.70689373439927
2011-06-23,1430.7625421363991
2011-06-24,-7300.718268166704
2011-06-25,-1474.1988146267004
2011-06-26,-2325.094430601699
2011-06-27,-8276.375703983551
2011-06-28,-7112.35626199286
2011-06-29,-2184.712225354
2011-06-30,209.22949448572945
2011-07-01,-1041.6723134565
2011-07-02,-141.82339933414005
2011-07-03,-1076.3419305754978
2011-07-04,-1166.4764344233008
2011-07-05,-8403.168868758901
2011-07-06,-1036.2777968504652
2011-07-07,94.89277656246941
2011-07-08,39.58407377405456
2011-07-09,574.2700259840603
2011-07-10,-1670.1126635020237
2011-07-11,-1517.8193455730216
2011-07-12,603.8009208253998
2011-07-13,665.4704015127809
2011-07-14,-438.4735679610603
2011-07-15,522.7508033735603
2011-07-16,436.2419774209593
2011-07-17,-632.2564599848502
2011-07-18,-3830.6960425326015
2011-07-19,-1125.3004270369202
2011-07-20,639.5645838343007
2011-07-21,607.2374977106801
2011-07-22,582.7995652241407
2011-07-23,-128.15659496672015
2011-07-24,1265.037639732449
2011-07-25,352.6376942707084
2011-07-26,112.30452748270909
2011-07-27,-75.05782231090961
2011-07-28,285.4823597614195
2011-07-29,-337.5911575741993
2011-07-30,295.8676195040298
2011-07-31,726.4133876242686
2011-08-01,-347.17315336862885
2011-08-02,-1071.5735509973092
2011-08-03,-634.8132124643107
2011-08-04,-51.17910434716032
2011-08-05,665.9392122326399
2011-08-06,-1577.2548144029997
2011-08-07,-1656.7506038482497
2011-08-08,278.1354319239499
2011-08-09,-137.42411287578943
2011-08-10,117.51842990855948
2011-08-11,562.4634051563198
2011-08-12,-989.4507373508295
2011-08-13,-93.91171009204027
2011-08-14,59.79096350507098
2011-08-15,730.6573018357403
2011-08-16,1125.1633972166392
2011-08-17,-1184.75852233947
2011-08-18,-1519.5124184573106
2011-08-19,178.56810278447028
2011-08-20,722.66995745045
2011-08-21,854.6393156124586
2011-08-22,-120.58189751566897
2011-08-23,144.9267762228992
2011-08-24,-452.3652849124601
2011-08-25,-3088.9227054699995
2011-08-26,-14875.978215530999
2011-08-27,-1178.7038164991309
2011-08-28,-1395.6559707040005
2011-08-29,1310.4685402104205
2011-08-30,549.0499649461308
2011-08-31,710.4413403216895
2011-09-01,-2018.7095481201013
2011-09-02,583.5612636422693
2011-09-03,-220.9287552231699
2011-09-04,1835.2739287934992
2011-09-05,-331.57467380052003
2011-09-06,-574.5268801236598
2011-09-07,-5930.6396392182
2011-09-08,-4022.8479180330005
2011-09-09,-13480.072050385199
2011-09-10,-151.45189761091024
2011-09-11,348.33397910852
2011-09-12,-2036.0733151538898
2011-09-13,1061.7459696695396
2011-09-14,-6839.9296072724
2011-09-15,174.60054128024967
2011-09-16,1457.4264374725608
2011-09-17,-618.7619236379096
2011-09-18,-218.4403564196091
2011-09-19,-71.54418911258017
2011-09-20,-914.2065070682693
2011-09-21,1112.8712593212695
2011-09-22,500.79735920842995
2011-09-23,-56.31225960394022
2011-09-24,199.66776829004993
2011-09-25,1886.1724970754203
2011-09-26,-653.1130194107509
2011-09-27,-1470.999961228259
2011-09-28,562.5508343146494
2011-09-29,769.9646583733102
2011-09-30,-710.9154883422998
2011-10-01,201.68733060040995
2011-10-02,-1038.3126636203397
2011-10-03,-604.8376464413295
2011-10-04,206.51747983334008
2011-10-05,1314.1199695644318
