t,transactions_transfers_to_exchanges_count
2014-05-03,3598
2014-05-04,4027
2014-05-05,4973
2014-05-06,5210
2014-05-07,4923
2014-05-08,4814
2014-05-09,5092
2014-05-10,5127
2014-05-11,5487
2014-05-12,5481
2014-05-13,5746
2014-05-14,5109
2014-05-15,5533
2014-05-16,5490
2014-05-17,5121
2014-05-18,5222
2014-05-19,5611
2014-05-20,6492
2014-05-21,5585
2014-05-22,6249
2014-05-23,6027
2014-05-24,4516
2014-05-25,6351
2014-05-26,5678
2014-05-27,5681
2014-05-28,6089
2014-05-29,5757
2014-05-30,5905
2014-05-31,5028
2014-06-01,6007
2014-06-02,5637
2014-06-03,6442
2014-06-04,6531
2014-06-05,6632
2014-06-06,6053
2014-06-07,5017
2014-06-08,5204
2014-06-09,5603
2014-06-10,5967
2014-06-11,5564
2014-06-12,6121
2014-06-13,6216
2014-06-14,5340
2014-06-15,5480
2014-06-16,6198
2014-06-17,6165
2014-06-18,5814
2014-06-19,6070
2014-06-20,6079
2014-06-21,5683
2014-06-22,5836
2014-06-23,5540
2014-06-24,5406
2014-06-25,5412
2014-06-26,5349
2014-06-27,5764
2014-06-28,4973
2014-06-29,4550
2014-06-30,5959
2014-07-01,5793
2014-07-02,5685
2014-07-03,6249
2014-07-04,5056
2014-07-05,4527
2014-07-06,4662
2014-07-07,5080
2014-07-08,5267
2014-07-09,5186
2014-07-10,5211
2014-07-11,4724
2014-07-12,4299
2014-07-13,4932
2014-07-14,5241
2014-07-15,5559
2014-07-16,5057
2014-07-17,5365
2014-07-18,5324
2014-07-19,5670
2014-07-20,4929
2014-07-21,5161
2014-07-22,5137
2014-07-23,4841
2014-07-24,5529
2014-07-25,5049
2014-07-26,4131
2014-07-27,4770
2014-07-28,5328
2014-07-29,4673
2014-07-30,5195
2014-07-31,5262
2014-08-01,5129
2014-08-02,4422
2014-08-03,4864
2014-08-04,5349
2014-08-05,5878
2014-08-06,6234
2014-08-07,5347
2014-08-08,4904
2014-08-09,4676
2014-08-10,5102
2014-08-11,6375
2014-08-12,6312
2014-08-13,6054
2014-08-14,6244
2014-08-15,6573
2014-08-16,6124
2014-08-17,5739
2014-08-18,6311
2014-08-19,6460
2014-08-20,6278
2014-08-21,6030
2014-08-22,5588
2014-08-23,4743
2014-08-24,5161
2014-08-25,5540
2014-08-26,5916
2014-08-27,5911
2014-08-28,5589
2014-08-29,5110
2014-08-30,4719
2014-08-31,5215
2014-09-01,4886
2014-09-02,5457
2014-09-03,4998
2014-09-04,5460
2014-09-05,5211
2014-09-06,5226
2014-09-07,5483
2014-09-08,6037
2014-09-09,6436
2014-09-10,5883
2014-09-11,5201
2014-09-12,5545
2014-09-13,5225
2014-09-14,5540
2014-09-15,5839
2014-09-16,7109
2014-09-17,6039
2014-09-18,6508
2014-09-19,6199
2014-09-20,5904
2014-09-21,5727
2014-09-22,6012
2014-09-23,7363
2014-09-24,7439
2014-09-25,8173
2014-09-26,6573
2014-09-27,6051
2014-09-28,5815
2014-09-29,5798
2014-09-30,6431
2014-10-01,6692
2014-10-02,6239
2014-10-03,9413
2014-10-04,7670
2014-10-05,7509
2014-10-06,6814
2014-10-07,6575
2014-10-08,6197
2014-10-09,6609
2014-10-10,6651
2014-10-11,5302
2014-10-12,5864
2014-10-13,6226
2014-10-14,6439
2014-10-15,6045
2014-10-16,5597
2014-10-17,5711
2014-10-18,5350
2014-10-19,5186
2014-10-20,5774
2014-10-21,6101
2014-10-22,5858
2014-10-23,5516
2014-10-24,5609
2014-10-25,5920
2014-10-26,6051
2014-10-27,6603
2014-10-28,5831
2014-10-29,6002
2014-10-30,6410
2014-10-31,5848
2014-11-01,5637
2014-11-02,6494
2014-11-03,5421
2014-11-04,6164
2014-11-05,5794
2014-11-06,6426
2014-11-07,6196
2014-11-08,5047
2014-11-09,6305
2014-11-10,6890
2014-11-11,6039
2014-11-12,7971
2014-11-13,7288
2014-11-14,7356
2014-11-15,5513
2014-11-16,7259
2014-11-17,7073
2014-11-18,5976
2014-11-19,5805
2014-11-20,5624
2014-11-21,5654
2014-11-22,5330
2014-11-23,6303
2014-11-24,5990
2014-11-25,5849
2014-11-26,5517
2014-11-27,6271
2014-11-28,5866
2014-11-29,5656
2014-11-30,6510
2014-12-01,6302
2014-12-02,6456
2014-12-03,5900
2014-12-04,5692
2014-12-05,6676
2014-12-06,5641
2014-12-07,5962
2014-12-08,6206
2014-12-09,6641
2014-12-10,6195
2014-12-11,5858
2014-12-12,6227
2014-12-13,5367
2014-12-14,6630
2014-12-15,6998
2014-12-16,8141
2014-12-17,6839
2014-12-18,7440
2014-12-19,7227
2014-12-20,6538
2014-12-21,7492
2014-12-22,7124
2014-12-23,7185
2014-12-24,5561
2014-12-25,5294
2014-12-26,5655
2014-12-27,5409
