t,addresses_accumulation_balance
2011-05-13,800417.09158059
2011-05-14,779993.09831922
2011-05-15,819879.93040574
2011-05-16,791261.86344703
2011-05-17,793155.06071562
2011-05-18,793455.88315115
2011-05-19,803081.77186973
2011-05-20,800693.77814558
2011-05-21,805343.10972204
2011-05-22,1107242.23661352
2011-05-23,813974.45468109
2011-05-24,811883.01025094
2011-05-25,814540.89062271
2011-05-26,812972.87058854
2011-05-27,1117370.2757381
2011-05-28,1064297.25659567
2011-05-29,1062287.88720532
2011-05-30,1062245.5138786
2011-05-31,1065363.17076141
2011-06-01,1065993.15523853
2011-06-02,1069972.82943397
2011-06-03,1114668.20788515
2011-06-04,1108150.08631021
2011-06-05,989193.45049314
2011-06-06,993832.45321409
2011-06-07,996089.55484661
2011-06-08,989633.73664164
2011-06-09,1000055.87073979
2011-06-10,1004350.02703219
2011-06-11,997577.8062953
2011-06-12,728471.81990615
2011-06-13,733722.24907128
2011-06-14,809559.85991615
2011-06-15,806361.90243752
2011-06-16,816679.95195915
2011-06-17,805323.35368136
2011-06-18,793612.28738021
2011-06-19,864213.69618408
2011-06-20,857507.30418425
2011-06-21,882450.38762105
2011-06-22,889591.61518729
2011-06-23,892427.69245627
2011-06-24,902159.2402531
2011-06-25,904714.2398053
2011-06-26,898675.68622184
2011-06-27,928065.55067093
2011-06-28,982948.23396078
2011-06-29,963295.91264901
2011-06-30,993936.33976524
2011-07-01,1013903.08342184
2011-07-02,976126.52371074
2011-07-03,981366.12248919
2011-07-04,1578092.37560093
2011-07-05,1594926.50188569
2011-07-06,1593424.33952416
2011-07-07,1594254.46203416
2011-07-08,1597479.92554817
2011-07-09,1600531.35008856
2011-07-10,1599809.31809947
2011-07-11,1604043.2278804
2011-07-12,1604943.90279429
2011-07-13,1605158.63281779
2011-07-14,1604114.81543738
2011-07-15,1607868.31876613
2011-07-16,1612240.08649633
2011-07-17,1613163.24295052
2011-07-18,1189362.71024783
2011-07-19,1198866.69363378
2011-07-20,1065065.21511328
2011-07-21,1050638.98840561
2011-07-22,1055541.82016252
2011-07-23,1059834.96146326
2011-07-24,1061459.21010205
2011-07-25,1072697.15427311
2011-07-26,1077103.65169898
2011-07-27,1085026.52086901
2011-07-28,1120071.78130942
2011-07-29,1118676.30232531
2011-07-30,1128867.57816412
2011-07-31,1134309.96399397
2011-08-01,1137219.21945104
2011-08-02,1140968.69426848
2011-08-03,1144205.2505432
2011-08-04,1160593.19528277
2011-08-05,1137775.49879078
2011-08-06,1121002.25607378
2011-08-07,1137800.64654879
2011-08-08,1112559.11930477
2011-08-09,1115702.58540676
2011-08-10,1115917.60918003
2011-08-11,1115287.60098177
2011-08-12,1119483.15961062
2011-08-13,1117741.39821356
2011-08-14,1121037.28722851
2011-08-15,1107436.47975366
2011-08-16,1110180.48567108
2011-08-17,1115211.94425288
2011-08-18,1116992.06624188
2011-08-19,1127505.73262446
2011-08-20,1128699.8922476
2011-08-21,1129249.40608256
2011-08-22,1131138.43049152
2011-08-23,1131848.87586821
2011-08-24,1149113.4756921
2011-08-25,1096037.30015917
2011-08-26,1110255.0812512
2011-08-27,1081602.18672145
2011-08-28,1083223.29538388
2011-08-29,1087086.81976066
2011-08-30,1085381.83841689
2011-08-31,1083225.45136727
2011-09-01,1087404.18553864
2011-09-02,1089731.89699256
2011-09-03,1081672.83468795
2011-09-04,1088848.85002238
2011-09-05,1089589.92344397
2011-09-06,1087336.9392635
2011-09-07,1120919.31607348
2011-09-08,1118156.00270323
2011-09-09,1116880.11017861
2011-09-10,1109921.7137966
2011-09-11,1303157.70190055
2011-09-12,1323705.80581403
2011-09-13,1323667.21093222
2011-09-14,1337170.33222132
2011-09-15,1329453.89710812
2011-09-16,1332404.86349861
2011-09-17,1335249.92743177
2011-09-18,1337542.3283427
2011-09-19,1337893.91104661
2011-09-20,1302395.12538764
2011-09-21,1352534.36722681
2011-09-22,1354242.91282572
2011-09-23,1351724.4673268
2011-09-24,1356455.06966169
2011-09-25,1357240.30407392
2011-09-26,1359943.82903804
2011-09-27,1362478.80868214
2011-09-28,1363245.70521306
2011-09-29,1364945.81183541
2011-09-30,1365473.15181575
2011-10-01,1371872.91468124
2011-10-02,1366969.25269938
2011-10-03,1369939.22036155
2011-10-04,1370901.06189092
2011-10-05,1373071.08307717
2011-10-06,1377383.72731923
2011-10-07,1394132.87696799
2011-10-08,1397992.44220901
2011-10-09,1401498.83246121
2011-10-10,1405881.44761619
2011-10-11,1403275.13978208
2011-10-12,1409953.16682499
2011-10-13,1411662.68032222
2011-10-14,1402724.89619878
2011-10-15,1398720.46198138
2011-10-16,1401907.41954882
2011-10-17,1408572.8572
2011-10-18,1406167.46304226
2011-10-19,1415616.10803365
2011-10-20,1410976.50501394
2011-10-21,1413953.59057548
2011-10-22,1414763.17331268
2011-10-23,1426634.32121154
2011-10-24,1429152.65675412
2011-10-25,1433984.70417558
2011-10-26,1429480.57191691
2011-10-27,1432636.69596918
2011-10-28,1435712.05953313
2011-10-29,1456612.14956587
2011-10-30,1455921.74096554
2011-10-31,1457547.82465843
2011-11-01,1459816.70002771
