t,addresses_non_zero_count
2012-04-03,622782
2012-04-04,623710
2012-04-05,624383
2012-04-06,624475
2012-04-07,625213
2012-04-08,626144
2012-04-09,626799
2012-04-10,628153
2012-04-11,629032
2012-04-12,629851
2012-04-13,630485
2012-04-14,631667
2012-04-15,632794
2012-04-16,633302
2012-04-17,633521
2012-04-18,634115
2012-04-19,634328
2012-04-20,634726
2012-04-21,635255
2012-04-22,636057
2012-04-23,636817
2012-04-24,637657
2012-04-25,638580
2012-04-26,640334
2012-04-27,640862
2012-04-28,641691
2012-04-29,642478
2012-04-30,643293
2012-05-01,644087
2012-05-02,645081
2012-05-03,646782
2012-05-04,647624
2012-05-05,648818
2012-05-06,646249
2012-05-07,646598
2012-05-08,647722
2012-05-09,648329
2012-05-10,648858
2012-05-11,649343
2012-05-12,650142
2012-05-13,651399
2012-05-14,652395
2012-05-15,652964
2012-05-16,652161
2012-05-17,653086
2012-05-18,654097
2012-05-19,655004
2012-05-20,656117
2012-05-21,657773
2012-05-22,659444
2012-05-23,660630
2012-05-24,662371
2012-05-25,663449
2012-05-26,664460
2012-05-27,666422
2012-05-28,668137
2012-05-29,667805
2012-05-30,668959
2012-05-31,670657
2012-06-01,672119
2012-06-02,672750
2012-06-03,675777
2012-06-04,675181
2012-06-05,678143
2012-06-06,679629
2012-06-07,678650
2012-06-08,679827
2012-06-09,681011
2012-06-10,684328
2012-06-11,686859
2012-06-12,687374
2012-06-13,692720
2012-06-14,694639
2012-06-15,693840
2012-06-16,696171
2012-06-17,698590
2012-06-18,700996
2012-06-19,701662
2012-06-20,702689
2012-06-21,704184
2012-06-22,705978
2012-06-23,706412
2012-06-24,708075
2012-06-25,709530
2012-06-26,711669
2012-06-27,711917
2012-06-28,713350
2012-06-29,715244
2012-06-30,717793
2012-07-01,720506
2012-07-02,722855
2012-07-03,724357
2012-07-04,724430
2012-07-05,725364
2012-07-06,727477
2012-07-07,730086
2012-07-08,731879
2012-07-09,732987
2012-07-10,735888
2012-07-11,737586
2012-07-12,738962
2012-07-13,739463
2012-07-14,741139
2012-07-15,742300
2012-07-16,742945
2012-07-17,744722
2012-07-18,745652
2012-07-19,743848
2012-07-20,745789
2012-07-21,748245
2012-07-22,751887
2012-07-23,753673
2012-07-24,752871
2012-07-25,754584
2012-07-26,756735
2012-07-27,758702
2012-07-28,764107
2012-07-29,764394
2012-07-30,764196
2012-07-31,767199
2012-08-01,768311
2012-08-02,769616
2012-08-03,771453
2012-08-04,773249
2012-08-05,775785
2012-08-06,779386
2012-08-07,783013
2012-08-08,784233
2012-08-09,784287
2012-08-10,787349
2012-08-11,790213
2012-08-12,795016
2012-08-13,802136
2012-08-14,805295
2012-08-15,805348
2012-08-16,807859
2012-08-17,810482
2012-08-18,814242
2012-08-19,803315
2012-08-20,801030
2012-08-21,802482
2012-08-22,804252
2012-08-23,808322
2012-08-24,810709
2012-08-25,813146
2012-08-26,814603
2012-08-27,817301
2012-08-28,820783
2012-08-29,824135
2012-08-30,826411
2012-08-31,828507
2012-09-01,832874
2012-09-02,835049
2012-09-03,836800
2012-09-04,834342
2012-09-05,837554
2012-09-06,839133
2012-09-07,839085
2012-09-08,841031
2012-09-09,844043
2012-09-10,846347
2012-09-11,849434
2012-09-12,853376
2012-09-13,854573
2012-09-14,856205
2012-09-15,858613
2012-09-16,860791
2012-09-17,862206
2012-09-18,866181
2012-09-19,871532
2012-09-20,877444
2012-09-21,879216
2012-09-22,880483
2012-09-23,882805
2012-09-24,884569
2012-09-25,890171
2012-09-26,892227
2012-09-27,896085
2012-09-28,900033
2012-09-29,901252
2012-09-30,902604
2012-10-01,906173
2012-10-02,907862
2012-10-03,906934
2012-10-04,908332
2012-10-05,912160
2012-10-06,916651
2012-10-07,919237
2012-10-08,924453
2012-10-09,926482
2012-10-10,929514
2012-10-11,933902
2012-10-12,940681
2012-10-13,941614
2012-10-14,947430
2012-10-15,948355
2012-10-16,949185
2012-10-17,955674
2012-10-18,953013
2012-10-19,948956
2012-10-20,948033
2012-10-21,949589
2012-10-22,952032
2012-10-23,950867
2012-10-24,953762
2012-10-25,953474
2012-10-26,952944
2012-10-27,953047
2012-10-28,954258
2012-10-29,948543
2012-10-30,950782
2012-10-31,953163
2012-11-01,953563
2012-11-02,956302
2012-11-03,960183
2012-11-04,960928
2012-11-05,962229
2012-11-06,964470
2012-11-07,967136
2012-11-08,969007
2012-11-09,970810
2012-11-10,969511
2012-11-11,972989
2012-11-12,974911
2012-11-13,978360
2012-11-14,981707
2012-11-15,984313
2012-11-16,983610
2012-11-17,993405
2012-11-18,995843
2012-11-19,998317
2012-11-20,1000855
2012-11-21,1000530
2012-11-22,1003993
2012-11-23,1005113
2012-11-24,1006579
2012-11-25,1008957
2012-11-26,1012468
2012-11-27,1013614
2012-11-28,1014890
2012-11-29,1015333
2012-11-30,1018186
2012-12-01,1020542
2012-12-02,1021204
2012-12-03,1022296
2012-12-04,1020080
2012-12-05,1021247
2012-12-06,1023686
2012-12-07,1024792
2012-12-08,1028304
2012-12-09,1028126
2012-12-10,1027666
2012-12-11,1029145
2012-12-12,1028718
2012-12-13,1030328
2012-12-14,1032781
2012-12-15,1035374
2012-12-16,1038022
2012-12-17,1041733
2012-12-18,1046758
2012-12-19,1049144
2012-12-20,1052181
2012-12-21,1054934
2012-12-22,1063147
2012-12-23,1064763
2012-12-24,1066973
2012-12-25,1070298
2012-12-26,1064645
2012-12-27,1065521
2012-12-28,1068592
2012-12-29,1067817
2012-12-30,1076774
2012-12-31,1080324
2013-01-01,1082974
2013-01-02,1087026
2013-01-03,1093818
2013-01-04,1098477
2013-01-05,1104763
2013-01-06,1107709
2013-01-07,1108809
2013-01-08,1111704
2013-01-09,1115500
2013-01-10,1115966
2013-01-11,1120864
2013-01-12,1122903
2013-01-13,1124403
2013-01-14,1125096
2013-01-15,1131697
2013-01-16,1136119
2013-01-17,1136697
2013-01-18,1139479
2013-01-19,1143211
2013-01-20,1146987
2013-01-21,1146372
2013-01-22,1145994
2013-01-23,1147491
2013-01-24,1141569
2013-01-25,1145622
2013-01-26,1147373
2013-01-27,1155466
2013-01-28,1157148
2013-01-29,1156566
2013-01-30,1158382
2013-01-31,1161470
2013-02-01,1166554
2013-02-02,1172450
2013-02-03,1176876
2013-02-04,1180099
2013-02-05,1183321
2013-02-06,1188163
2013-02-07,1192205
2013-02-08,1193615
2013-02-09,1196260
