t,o
2012-06-22,"{'bitstamp': 3285.12992644, 'coinbase': 0.205}"
2012-06-23,"{'bitstamp': 4892.58288704, 'coinbase': 0.205}"
2012-06-24,"{'bitstamp': 4790.2906818, 'coinbase': 0.205}"
2012-06-25,"{'bitstamp': 9440.63552663, 'coinbase': 0.205}"
2012-06-26,"{'bitstamp': 1000.63079805, 'coinbase': 0.205}"
2012-06-27,"{'bitstamp': 1055.64596787, 'coinbase': 0.205}"
2012-06-28,"{'bitstamp': 52.55655357, 'coinbase': 0.205}"
2012-06-29,"{'bitstamp': 2344.02500531, 'coinbase': 0.7951}"
2012-06-30,"{'bitstamp': 3290.47843284, 'coinbase': 2.2109141}"
2012-07-01,"{'bitstamp': 3545.94447555, 'coinbase': 2.2920141}"
2012-07-02,"{'bitstamp': 2122.40173922, 'coinbase': 2.3091741}"
2012-07-03,"{'bitstamp': 675.81523401, 'coinbase': 2.3219141}"
2012-07-04,"{'bitstamp': 1488.34058, 'coinbase': 2.3283941}"
2012-07-05,"{'bitstamp': 1883.95187967, 'coinbase': 2.3293341}"
2012-07-06,"{'bitstamp': 2032.78704306, 'coinbase': 12.9126541}"
2012-07-07,"{'bitstamp': 520.1818598, 'coinbase': 12.8987541}"
2012-07-08,"{'bitstamp': 661.07445478, 'coinbase': 3.97048619}"
2012-07-09,"{'bitstamp': 453.13762141, 'coinbase': 3.98882619}"
2012-07-10,"{'bitstamp': 366.86698404, 'coinbase': 31.98432619}"
2012-07-11,"{'bitstamp': 327.02872142, 'coinbase': 31.98810619}"
2012-07-12,"{'bitstamp': 2705.70050099, 'coinbase': 3.91680619}"
2012-07-13,"{'bitstamp': 3499.98153722, 'coinbase': 3.90404721}"
2012-07-14,"{'bitstamp': 2288.26623357, 'coinbase': 3.91339723}"
2012-07-15,"{'bitstamp': 5414.88553391, 'coinbase': 3.91439723}"
2012-07-16,"{'bitstamp': 2077.3925123, 'coinbase': 3.92297723}"
2012-07-17,"{'bitstamp': 2318.32487652, 'coinbase': 3.93609723}"
2012-07-18,"{'bitstamp': 4432.428054, 'coinbase': 3.94527723}"
2012-07-19,"{'bitstamp': 5666.55476286, 'coinbase': 3.96841723}"
2012-07-20,"{'bitstamp': 771.25133069, 'coinbase': 3.97918107}"
2012-07-21,"{'bitstamp': 1862.89228782, 'coinbase': 3.98187107}"
2012-07-22,"{'bitstamp': 2909.58281493, 'coinbase': 3.96957107}"
2012-07-23,"{'bitstamp': 2984.44813288, 'coinbase': 4.00999107}"
2012-07-24,"{'bitstamp': 5631.98271506, 'coinbase': 13.46319107}"
2012-07-25,"{'bitstamp': 3110.82095289, 'coinbase': 6.47399107}"
2012-07-26,"{'bitstamp': 3359.06580788, 'coinbase': 6.47485107}"
2012-07-27,"{'bitstamp': 4582.4527119, 'coinbase': 6.46937107}"
2012-07-28,"{'bitstamp': 5477.57557549, 'coinbase': 6.47989742}"
2012-07-29,"{'bitstamp': 5573.23970287, 'coinbase': 6.48267742}"
2012-07-30,"{'bitstamp': 4103.860337, 'coinbase': 6.48287742}"
2012-07-31,"{'bitstamp': 179.33514206, 'coinbase': 6.54547742}"
2012-08-01,"{'bitstamp': 1333.65897717, 'coinbase': 6.66953742}"
2012-08-02,"{'bitstamp': 1852.89058483, 'coinbase': 6.68873742}"
2012-08-03,"{'bitstamp': 2515.46232485, 'coinbase': 6.55225324}"
2012-08-04,"{'bitstamp': 2922.46441794, 'coinbase': 6.64253508}"
2012-08-05,"{'bitstamp': 256.36124209, 'coinbase': 6.57025576}"
2012-08-06,"{'bitstamp': 16.23084536, 'coinbase': 6.53878012}"
2012-08-07,"{'bitstamp': 769.71852292, 'coinbase': 6.54158012}"
2012-08-08,"{'bitstamp': 1639.81458773, 'coinbase': 6.64784012}"
2012-08-09,"{'bitstamp': 2755.70059984, 'coinbase': 6.65986012}"
2012-08-10,"{'bitstamp': 1393.06051011, 'coinbase': 6.66222012}"
2012-08-11,"{'bitstamp': 334.6890727, 'coinbase': 6.66870012}"
2012-08-12,"{'bitstamp': 350.03881761, 'coinbase': 6.82624012}"
2012-08-13,"{'bitstamp': 1919.67626162, 'coinbase': 6.85748012}"
2012-08-14,"{'bitstamp': 2994.40042454, 'coinbase': 16.19610012}"
2012-08-15,"{'bitstamp': 2853.93660954, 'coinbase': 9.12036539}"
2012-08-16,"{'bitstamp': 2707.28977352, 'coinbase': 15.55570547}"
2012-08-17,"{'bitstamp': 4180.76790966, 'coinbase': 24.32143288}"
2012-08-18,"{'bitstamp': 200.72471958, 'coinbase': 30.06750797}"
2012-08-19,"{'bitstamp': 1682.08648, 'coinbase': 22.23257423}"
2012-08-20,"{'bitstamp': 711.86511459, 'coinbase': 24.11515295}"
2012-08-21,"{'bitstamp': 1997.66731143, 'coinbase': 22.61302306}"
2012-08-22,"{'bitstamp': 4564.50662133, 'coinbase': 23.63983652}"
2012-08-23,"{'bitstamp': 4627.95948137, 'coinbase': 24.19330869}"
2012-08-24,"{'bitstamp': 3681.2617999, 'coinbase': 24.36825124}"
2012-08-25,"{'bitstamp': 3514.83272471, 'coinbase': 23.56513872}"
2012-08-26,"{'bitstamp': 3598.96936184, 'coinbase': 22.83969416}"
