t,transactions_transfers_volume_entity_adjusted_sum
2011-03-11,85364.91614093
2011-03-12,89191.53664851
2011-03-13,155622.32318589
2011-03-14,161190.67431473
2011-03-15,80243.91668352
2011-03-16,96526.33313416
2011-03-17,102165.43478585
2011-03-18,100481.01423442
2011-03-19,68990.86779295
2011-03-20,73812.01568164
2011-03-21,89032.17517935
2011-03-22,115977.32931854
2011-03-23,95383.5435627
2011-03-24,120395.59790692
2011-03-25,68998.37061262
2011-03-26,132437.32599024
2011-03-27,76849.39990844
2011-03-28,63896.48246612
2011-03-29,56211.40592086
2011-03-30,76051.57494211
2011-03-31,72706.08144364
2011-04-01,47990.34539097
2011-04-02,71469.47472046
2011-04-03,45670.79713375
2011-04-04,86676.5129654
2011-04-05,74045.25898476
2011-04-06,57536.64929749
2011-04-07,55061.49026611
2011-04-08,94210.43905446
2011-04-09,83753.6301
2011-04-10,49979.06268921
2011-04-11,60763.75455369
2011-04-12,94987.16655919
2011-04-13,87084.78305749
2011-04-14,106447.16132896
2011-04-15,83027.77892739
2011-04-16,143412.98809116
2011-04-17,179255.96177388
2011-04-18,105226.58445773
2011-04-19,537437.09578372
2011-04-20,177168.10257578
2011-04-21,106145.60342482
2011-04-22,134030.75880902
2011-04-23,123961.56247196
2011-04-24,82981.86801243
2011-04-25,74132.94273238
2011-04-26,85896.16310095
2011-04-27,99311.42245509
2011-04-28,104965.53928336
2011-04-29,383101.22288781
2011-04-30,324305.40086103
2011-05-01,106205.51337046
2011-05-02,79786.93503554
2011-05-03,110717.82601501
2011-05-04,180710.56659336
2011-05-05,77774.00582074
2011-05-06,136068.07732498
2011-05-07,105349.3605123
2011-05-08,475814.7456929
2011-05-09,99299.66404436
2011-05-10,498682.26596162
2011-05-11,139762.73116807
2011-05-12,158380.81478606
2011-05-13,405926.39324603
2011-05-14,381100.44490015
2011-05-15,164411.12721651
2011-05-16,212246.79608209
2011-05-17,157007.28152023
2011-05-18,123956.57004515
2011-05-19,111107.0407578
2011-05-20,115080.63982759
2011-05-21,413165.55995431
2011-05-22,382232.14410337
2011-05-23,154532.72695658
2011-05-24,95591.77790707
2011-05-25,92378.00792196
2011-05-26,112925.10401613
2011-05-27,382379.43935254
2011-05-28,63528.55426333
2011-05-29,75117.48593278
2011-05-30,72459.60435325
2011-05-31,109414.77061218
2011-06-01,96863.04629808
2011-06-02,127837.09414469
2011-06-03,205979.72398094
2011-06-04,125406.09484569
2011-06-05,186213.45224947
2011-06-06,330582.90267571
2011-06-07,147625.01481099
2011-06-08,289669.25759001
2011-06-09,255099.0521719
2011-06-10,392053.28231733
2011-06-11,287846.99370746
2011-06-12,735531.99437422
2011-06-13,317562.6635248
2011-06-14,368286.44245287
2011-06-15,498613.09017196
2011-06-16,491095.02581475
2011-06-17,515408.04498594
2011-06-18,377664.79601992
2011-06-19,1485887.10551096
2011-06-20,328659.03890543
2011-06-21,280129.00139422
2011-06-22,255158.10294486
2011-06-23,629998.90035058
2011-06-24,268080.92610932
2011-06-25,280686.91537872
2011-06-26,397986.91160009
