t,entities_net_growth_count
2013-08-06,1105
2013-08-07,2433
2013-08-08,1012
2013-08-09,786
2013-08-10,829
2013-08-11,387
2013-08-12,1094
2013-08-13,1173
2013-08-14,1764
2013-08-15,1063
2013-08-16,1691
2013-08-17,869
2013-08-18,1304
2013-08-19,1539
2013-08-20,1765
2013-08-21,1433
2013-08-22,1232
2013-08-23,1492
2013-08-24,1019
2013-08-25,719
2013-08-26,714
2013-08-27,1859
2013-08-28,1362
2013-08-29,1533
2013-08-30,1276
2013-08-31,4735
2013-09-01,1085
2013-09-02,1328
2013-09-03,1683
2013-09-04,1385
2013-09-05,857
2013-09-06,1156
2013-09-07,925
2013-09-08,614
2013-09-09,-2140
2013-09-10,552
2013-09-11,904
2013-09-12,1093
2013-09-13,1047
2013-09-14,1091
2013-09-15,755
2013-09-16,1042
2013-09-17,1027
2013-09-18,621
2013-09-19,1012
2013-09-20,1676
2013-09-21,1663
2013-09-22,1124
2013-09-23,1368
2013-09-24,1642
2013-09-25,1448
2013-09-26,1616
2013-09-27,932
2013-09-28,1159
2013-09-29,987
2013-09-30,1049
2013-10-01,1225
2013-10-02,1247
2013-10-03,1955
2013-10-04,1940
2013-10-05,1355
2013-10-06,1214
2013-10-07,1334
2013-10-08,1564
2013-10-09,1499
2013-10-10,1304
2013-10-11,906
2013-10-12,1229
2013-10-13,815
2013-10-14,1630
2013-10-15,1410
2013-10-16,1477
2013-10-17,1059
2013-10-18,1215
2013-10-19,1736
2013-10-20,1259
2013-10-21,1596
2013-10-22,2141
2013-10-23,1534
2013-10-24,2050
2013-10-25,2461
2013-10-26,902
2013-10-27,1052
2013-10-28,1745
2013-10-29,2089
2013-10-30,2828
2013-10-31,2656
2013-11-01,2441
2013-11-02,1762
2013-11-03,1337
2013-11-04,2305
2013-11-05,3192
2013-11-06,3405
2013-11-07,3377
2013-11-08,4085
2013-11-09,3027
2013-11-10,3064
2013-11-11,2824
2013-11-12,3549
2013-11-13,3283
2013-11-14,4025
2013-11-15,3645
2013-11-16,3918
2013-11-17,3449
2013-11-18,5592
2013-11-19,7053
2013-11-20,4596
2013-11-21,4906
2013-11-22,5311
2013-11-23,5354
2013-11-24,3917
2013-11-25,4101
2013-11-26,6133
2013-11-27,5469
2013-11-28,6739
2013-11-29,6949
2013-11-30,8943
2013-12-01,5944
2013-12-02,9088
