t,entities_new_count
2012-01-16,2026
2012-01-17,2195
2012-01-18,2283
2012-01-19,2318
2012-01-20,2083
2012-01-21,2066
2012-01-22,1609
2012-01-23,1897
2012-01-24,2146
2012-01-25,2546
2012-01-26,2031
2012-01-27,2174
2012-01-28,1865
2012-01-29,1763
2012-01-30,1873
2012-01-31,2334
2012-02-01,2190
2012-02-02,2171
2012-02-03,2139
2012-02-04,2353
2012-02-05,1963
2012-02-06,1881
2012-02-07,2038
2012-02-08,2062
2012-02-09,2023
2012-02-10,2124
2012-02-11,1896
2012-02-12,1763
2012-02-13,2078
2012-02-14,2457
2012-02-15,2545
2012-02-16,2819
2012-02-17,2173
2012-02-18,2178
2012-02-19,2279
2012-02-20,2259
2012-02-21,2372
2012-02-22,2429
2012-02-23,2515
2012-02-24,2350
2012-02-25,1852
2012-02-26,1763
2012-02-27,2036
2012-02-28,2180
2012-02-29,2144
2012-03-01,2140
2012-03-02,2436
2012-03-03,1716
2012-03-04,2243
2012-03-05,2332
2012-03-06,2150
2012-03-07,2021
2012-03-08,2129
2012-03-09,2065
2012-03-10,1723
2012-03-11,1642
2012-03-12,1812
2012-03-13,2444
2012-03-14,2360
2012-03-15,2228
2012-03-16,2252
2012-03-17,2187
2012-03-18,1889
2012-03-19,2111
2012-03-20,2231
2012-03-21,2371
2012-03-22,2163
2012-03-23,2035
2012-03-24,1791
2012-03-25,1930
2012-03-26,2179
2012-03-27,2068
2012-03-28,2254
2012-03-29,2276
2012-03-30,1936
2012-03-31,1822
2012-04-01,1603
2012-04-02,2168
2012-04-03,2501
2012-04-04,2363
2012-04-05,2323
2012-04-06,2108
2012-04-07,1870
2012-04-08,1809
2012-04-09,2106
2012-04-10,2396
2012-04-11,2562
2012-04-12,2552
2012-04-13,2230
2012-04-14,2359
2012-04-15,2237
2012-04-16,2426
2012-04-17,2346
2012-04-18,2514
2012-04-19,2274
2012-04-20,2553
2012-04-21,2198
2012-04-22,1924
2012-04-23,2134
2012-04-24,2384
2012-04-25,2246
2012-04-26,2323
2012-04-27,2225
2012-04-28,2053
2012-04-29,1902
2012-04-30,2238
2012-05-01,2366
2012-05-02,2619
2012-05-03,2266
2012-05-04,2615
2012-05-05,2058
2012-05-06,1951
2012-05-07,2531
2012-05-08,2279
2012-05-09,2487
2012-05-10,2340
2012-05-11,2545
2012-05-12,2085
2012-05-13,2036
2012-05-14,2781
2012-05-15,2470
2012-05-16,2375
2012-05-17,2256
2012-05-18,2397
2012-05-19,2215
2012-05-20,2250
2012-05-21,2595
2012-05-22,2972
2012-05-23,3146
2012-05-24,2819
2012-05-25,2652
2012-05-26,2458
2012-05-27,2329
2012-05-28,2665
2012-05-29,3479
2012-05-30,2913
2012-05-31,3331
2012-06-01,2953
2012-06-02,2139
2012-06-03,2705
2012-06-04,3186
2012-06-05,4601
2012-06-06,3061
2012-06-07,3662
2012-06-08,3018
2012-06-09,2989
2012-06-10,3772
2012-06-11,3174
2012-06-12,3083
2012-06-13,4670
2012-06-14,4307
2012-06-15,4204
2012-06-16,3821
2012-06-17,3477
2012-06-18,3888
2012-06-19,3822
2012-06-20,3848
2012-06-21,3800
2012-06-22,3825
2012-06-23,3805
2012-06-24,3298
2012-06-25,4102
2012-06-26,4320
2012-06-27,4378
2012-06-28,4135
2012-06-29,4611
2012-06-30,4481
2012-07-01,5286
2012-07-02,4438
2012-07-03,4529
2012-07-04,3763
2012-07-05,2992
2012-07-06,4379
2012-07-07,3857
2012-07-08,4555
2012-07-09,4289
2012-07-10,5129
2012-07-11,4480
2012-07-12,4364
2012-07-13,4107
2012-07-14,4029
2012-07-15,4295
2012-07-16,4166
2012-07-17,5232
2012-07-18,4368
2012-07-19,4012
2012-07-20,4531
2012-07-21,4933
2012-07-22,5385
2012-07-23,5768
2012-07-24,4991
2012-07-25,4403
2012-07-26,4998
2012-07-27,4358
2012-07-28,7552
2012-07-29,4699
2012-07-30,4552
2012-07-31,13259
2012-08-01,5368
2012-08-02,6152
2012-08-03,4690
2012-08-04,4392
2012-08-05,4754
2012-08-06,6179
2012-08-07,5748
2012-08-08,8043
2012-08-09,5288
2012-08-10,5965
2012-08-11,5347
2012-08-12,5801
2012-08-13,8662
2012-08-14,6630
2012-08-15,6313
2012-08-16,8960
2012-08-17,8202
2012-08-18,8170
2012-08-19,6468
2012-08-20,5359
2012-08-21,7039
2012-08-22,6542
2012-08-23,6105
2012-08-24,6144
2012-08-25,4467
2012-08-26,3523
2012-08-27,5274
2012-08-28,5844
2012-08-29,5500
2012-08-30,3800
2012-08-31,7113
2012-09-01,6429
2012-09-02,4174
2012-09-03,3779
2012-09-04,5490
2012-09-05,5120
2012-09-06,6361
2012-09-07,6783
2012-09-08,4023
2012-09-09,6754
2012-09-10,4796
2012-09-11,7396
2012-09-12,4788
2012-09-13,4335
2012-09-14,4947
2012-09-15,4314
2012-09-16,4613
2012-09-17,4468
2012-09-18,6435
2012-09-19,8913
2012-09-20,10255
2012-09-21,6268
2012-09-22,3654
2012-09-23,3860
2012-09-24,4524
2012-09-25,9562
2012-09-26,9136
2012-09-27,8212
2012-09-28,11063
2012-09-29,6944
2012-09-30,4477
2012-10-01,4959
2012-10-02,9724
2012-10-03,8809
2012-10-04,8450
2012-10-05,7753
2012-10-06,6157
2012-10-07,7037
2012-10-08,7261
2012-10-09,8347
2012-10-10,7744
2012-10-11,8239
2012-10-12,6818
2012-10-13,5375
2012-10-14,6104
2012-10-15,6783
2012-10-16,6289
2012-10-17,9591
2012-10-18,6972
2012-10-19,5694
2012-10-20,5425
2012-10-21,3977
2012-10-22,5179
2012-10-23,5567
2012-10-24,6194
2012-10-25,6269
2012-10-26,5984
2012-10-27,4485
2012-10-28,4165
2012-10-29,4262
2012-10-30,5372
2012-10-31,5466
2012-11-01,5340
2012-11-02,5657
2012-11-03,5846
2012-11-04,4895
2012-11-05,5492
2012-11-06,6980
2012-11-07,8414
2012-11-08,6061
2012-11-09,5868
2012-11-10,6153
2012-11-11,4960
2012-11-12,5233
2012-11-13,5917
2012-11-14,6015
2012-11-15,7291
2012-11-16,6819
2012-11-17,6890
2012-11-18,6175
2012-11-19,5770
2012-11-20,6419
2012-11-21,6119
2012-11-22,6381
2012-11-23,4994
2012-11-24,5351
2012-11-25,5045
2012-11-26,6400
2012-11-27,4672
2012-11-28,5262
2012-11-29,5508
2012-11-30,5666
2012-12-01,6195
2012-12-02,3556
2012-12-03,4307
2012-12-04,6555
2012-12-05,7150
2012-12-06,6282
2012-12-07,6125
2012-12-08,5646
2012-12-09,5266
2012-12-10,4625
2012-12-11,5238
2012-12-12,5910
2012-12-13,7436
2012-12-14,7069
2012-12-15,5629
2012-12-16,5757
2012-12-17,6659
2012-12-18,7847
2012-12-19,7152
2012-12-20,6317
2012-12-21,7608
2012-12-22,10628
2012-12-23,6166
2012-12-24,5898
2012-12-25,4371
2012-12-26,4213
2012-12-27,4708
2012-12-28,6913
2012-12-29,6200
2012-12-30,11623
2012-12-31,5561
2013-01-01,5696
2013-01-02,6929
2013-01-03,9787
2013-01-04,8403
2013-01-05,10136
2013-01-06,7700
2013-01-07,9295
2013-01-08,9776
2013-01-09,9786
2013-01-10,10027
2013-01-11,10980
2013-01-12,8644
2013-01-13,8608
2013-01-14,6047
2013-01-15,10322
2013-01-16,9446
2013-01-17,10192
2013-01-18,9970
2013-01-19,8936
2013-01-20,7988
2013-01-21,6870
2013-01-22,8077
2013-01-23,7228
2013-01-24,8151
2013-01-25,8341
2013-01-26,9147
2013-01-27,9227
2013-01-28,7494
2013-01-29,7924
2013-01-30,6415
2013-01-31,7340
2013-02-01,11043
2013-02-02,10075
