t,transactions_transfers_volume_miners_to_exchanges
2013-03-11,26.754792391153
2013-03-12,113.108056857741
2013-03-13,15.7035841906539
2013-03-14,193.60306518509
2013-03-15,8.10902006379763
2013-03-16,16.31688780672
2013-03-17,35.3008566521329
2013-03-18,29.0223945266821
2013-03-19,20.4854152279426
2013-03-20,24.7608111555456
2013-03-21,222.047883447806
2013-03-22,41.2276579342772
2013-03-23,55.9616595205945
2013-03-24,72.8763165155035
2013-03-25,25.3907336167225
2013-03-26,50.3261192286333
2013-03-27,70.2318531746189
2013-03-28,94.719227644684
2013-03-29,12.1900873900122
2013-03-30,15.1466857824145
2013-03-31,37.3380285265716
2013-04-01,29.1060033046309
2013-04-02,12.7296060856925
2013-04-03,47.4448138475864
2013-04-04,79.5818606175338
2013-04-05,399.752148736482
2013-04-06,15.5665979373399
2013-04-07,10.2226561994283
2013-04-08,35.1887325511238
2013-04-09,151.175019714788
2013-04-10,606.156814009055
2013-04-11,42.4312343608085
2013-04-12,167.826636987516
2013-04-13,12.5597737326735
2013-04-14,45.1714022705621
2013-04-15,54.445415747575
2013-04-16,112.434351777444
2013-04-17,15.5564827927609
2013-04-18,67.8774421609093
2013-04-19,18.4117564829995
2013-04-20,17.6996718429414
2013-04-21,3.3020022712887
2013-04-22,17.7376013600324
2013-04-23,68.4012494599123
2013-04-24,28.1782442397422
2013-04-25,12.2915597117327
2013-04-26,8.61895517576805
2013-04-27,5.40611287325326
2013-04-28,9.31587868600445
2013-04-29,24.5541727118357
2013-04-30,24.598140666104
2013-05-01,26.904303774027
2013-05-02,13.7754660413879
2013-05-03,18.4828775220276
2013-05-04,13.4476234044741
2013-05-05,9.01375079055468
2013-05-06,15.7380224458141
2013-05-07,20.0925079214
2013-05-08,59.4225192328466
2013-05-09,4.7980784489821
2013-05-10,9.01093888884514
2013-05-11,8.59778634619605
2013-05-12,7.168343195799
2013-05-13,16.5997199431908
2013-05-14,415.610963231391
2013-05-15,62.0364663535027
2013-05-16,11.7162701085059
2013-05-17,6.66840007103477
2013-05-18,19.9870362930881
2013-05-19,35.5180303576627
2013-05-20,24.5299137843793
2013-05-21,8.95793852185383
2013-05-22,8.92939062809416
2013-05-23,5.33919976292613
2013-05-24,40.2030759672864
2013-05-25,8.20270509842272
2013-05-26,27.019698394684
2013-05-27,40.514182026186
2013-05-28,16.6188239434504
2013-05-29,9.89666799522714
2013-05-30,5.61086727535732
2013-05-31,16.0200168661704
2013-06-01,5.95615632998301
2013-06-02,12.195669346943
2013-06-03,20.3380801055745
2013-06-04,10.3374910919106
2013-06-05,33.8533062263978
2013-06-06,20.5114159860641
2013-06-07,30.6108098802918
2013-06-08,5.65584896129352
2013-06-09,194.259292993405
2013-06-10,4.83262824064627
2013-06-11,8.88305720402372
2013-06-12,28.4405015774129
2013-06-13,34.1869819880872
2013-06-14,4.79651003378767
2013-06-15,10.5858684769274
2013-06-16,6.01059057613246
2013-06-17,11.570863713745
2013-06-18,3.6334201485396
2013-06-19,11.2621239672834
2013-06-20,24.5113796412875
2013-06-21,5.44229755423908
2013-06-22,22.6862176662372
2013-06-23,183.108179951615
2013-06-24,82.0723741755006
2013-06-25,365.202446549056
2013-06-26,34.7359870380727
2013-06-27,23.740106141453
2013-06-28,43.2509611235673
2013-06-29,5.58681982262272
2013-06-30,14.0296306195781
2013-07-01,141.36958952701
2013-07-02,3.94548982118874
2013-07-03,64.2262034964266
2013-07-04,175.688726978191
2013-07-05,3.51585379162279
2013-07-06,125.634933526937
2013-07-07,24.1210591397647
2013-07-08,20.8614518501827
2013-07-09,18.2944416437736
2013-07-10,13.2255196353239
2013-07-11,46.6583638075611
2013-07-12,126.057352124705
2013-07-13,31.6713608666617
2013-07-14,3.32362827788458
2013-07-15,91.2782185788538
2013-07-16,39.2084874305831
2013-07-17,44.447927139833
2013-07-18,637.462522621629
2013-07-19,4.04628819100378
2013-07-20,396.846785476666
2013-07-21,7.55514991741945
2013-07-22,51.0953133570849
2013-07-23,5.71966150784791
2013-07-24,26.5232895631714
2013-07-25,24.5980262039351
2013-07-26,103.612103707032
2013-07-27,17.1844905083991
2013-07-28,26.554474403578
2013-07-29,67.1547767023969
2013-07-30,17.4779829591656
2013-07-31,73.7531176358705
2013-08-01,40.0833895346886
2013-08-02,29.8008893930578
2013-08-03,31.7153161900295
2013-08-04,11.8201174965734
2013-08-05,61.2536858564002
2013-08-06,205.366701979876
2013-08-07,37.1395463498642
2013-08-08,31.339096778407
2013-08-09,17.9872852516866
2013-08-10,19.6332735345206
2013-08-11,26.6379248591714
2013-08-12,44.2765058451599
2013-08-13,8.19778020859961
2013-08-14,9.08368289362003
2013-08-15,52.8330566613887
2013-08-16,62.5532869899888
2013-08-17,28.8265186212559
2013-08-18,10.577497247385
2013-08-19,80.0277794374715
2013-08-20,17.1773276755388
2013-08-21,278.817989653021
2013-08-22,55.4284253867273
2013-08-23,217.98164096774
2013-08-24,51.9093189149146
2013-08-25,170.026300050714
2013-08-26,35.6320071996742
2013-08-27,404.944619923158
2013-08-28,185.539719902478
2013-08-29,10.5091481703086
2013-08-30,116.476449898189
2013-08-31,77.4479668602224
2013-09-01,17.3414482009491
2013-09-02,27.6535610640073
2013-09-03,278.994643293697
2013-09-04,406.082197308643
2013-09-05,435.503929980359
2013-09-06,18.1366993062588
2013-09-07,180.575399551223
2013-09-08,12.8528416480343
2013-09-09,885.524442308702
2013-09-10,29.4987907595174
2013-09-11,19.0757527007237
2013-09-12,15.3453552581973
2013-09-13,20.1984801318781
2013-09-14,262.611418468294
2013-09-15,26.2980181022224
2013-09-16,490.194390012847
2013-09-17,706.529040332751
2013-09-18,13.0779348256853
2013-09-19,43.7669402605904
2013-09-20,172.508824795659
2013-09-21,918.095731492083
2013-09-22,124.94919164912
2013-09-23,276.886820964587
2013-09-24,137.062539492487
2013-09-25,135.238478585775
2013-09-26,85.9838012756614
2013-09-27,629.337115710122
2013-09-28,11.4382352251064
2013-09-29,19.9027084846267
2013-09-30,18.7183421357803
2013-10-01,41.4689475588296
2013-10-02,90.6707930922793
2013-10-03,59.5568181902197
2013-10-04,726.005264516829
2013-10-05,317.655581615027
2013-10-06,168.667170480846
2013-10-07,292.942085966614
2013-10-08,202.780048336469
2013-10-09,472.110056802956
2013-10-10,106.421845354925
2013-10-11,45.2917381399312
2013-10-12,321.925419359407
2013-10-13,543.616873323439
2013-10-14,107.436175460945
2013-10-15,45.3386808165198
2013-10-16,220.992078742361
2013-10-17,15.5669237974479
2013-10-18,707.513918558907
2013-10-19,377.940445294438
2013-10-20,89.8480166661538
2013-10-21,1222.50692582144
2013-10-22,346.074080958741
2013-10-23,84.5033818188597
2013-10-24,111.296904998378
2013-10-25,593.10811306035
2013-10-26,69.5869985855146
2013-10-27,1828.0398983587
2013-10-28,164.609202949899
2013-10-29,93.1284696516981
2013-10-30,163.059877707466
2013-10-31,1032.58625090621
2013-11-01,1145.48208950468
2013-11-02,95.9383081098713
2013-11-03,676.184353898462
2013-11-04,487.937327988198
2013-11-05,252.01522226759
2013-11-06,231.11926268378
2013-11-07,351.046019722306
2013-11-08,573.59445695662
2013-11-09,351.853178818739
2013-11-10,167.314182116028
2013-11-11,138.029740241298
2013-11-12,377.354078643712
2013-11-13,1257.97009321053
2013-11-14,2330.3910116952
2013-11-15,169.789004351106
2013-11-16,265.975826702804
2013-11-17,1376.191370998
2013-11-18,314.396526334439
2013-11-19,2151.21268640652
2013-11-20,356.662618531613
2013-11-21,301.600213904715
2013-11-22,1217.78967154237
2013-11-23,271.677918498345
2013-11-24,99.6592388567327
2013-11-25,119.873925589228
2013-11-26,400.50819903449
2013-11-27,93.4510998187094
2013-11-28,126.363392041209
2013-11-29,109.49859431167
2013-11-30,379.437377439565
2013-12-01,929.216665818168
2013-12-02,147.40419307597
2013-12-03,95.3261067472889
2013-12-04,213.421624744979
2013-12-05,96.1279050996245
2013-12-06,284.405877653748
2013-12-07,236.917337315845
2013-12-08,75.6031101327254
2013-12-09,48.9577464337086
2013-12-10,83.3993299386776
2013-12-11,95.5183027190831
2013-12-12,77.0641852356299
2013-12-13,55.0597365386039
2013-12-14,46.3547245477396
2013-12-15,66.4002290515701
2013-12-16,256.681455180072
2013-12-17,553.945735985227
2013-12-18,972.556553570182
2013-12-19,91.2996339210608
2013-12-20,795.519251826819
2013-12-21,135.233706905365
2013-12-22,135.437162641749
2013-12-23,95.7544103914342
2013-12-24,136.587369332851
2013-12-25,99.1025668688505
2013-12-26,338.52428491573
2013-12-27,140.194487346936
2013-12-28,97.5157649183044
2013-12-29,94.1665252572122
2013-12-30,115.090539821131
2013-12-31,375.692190251316
2014-01-01,214.48296039435
2014-01-02,299.556205387938
2014-01-03,205.830903446243
2014-01-04,161.411238191592
2014-01-05,380.29996327716
2014-01-06,408.852295520644
2014-01-07,454.765682063546
2014-01-08,262.339248277654
2014-01-09,188.141828826904
2014-01-10,386.65653601265
2014-01-11,410.810488608305
2014-01-12,462.733797271058
2014-01-13,325.632558933093
2014-01-14,172.449799069695
2014-01-15,189.58114764513
2014-01-16,506.119355119371
2014-01-17,128.962333556384
2014-01-18,176.709702535945
2014-01-19,202.984957367574
2014-01-20,635.168025756348
2014-01-21,150.050402987503
2014-01-22,197.364632793281
2014-01-23,405.697099056268
2014-01-24,358.217947825914
2014-01-25,113.967950950604
2014-01-26,143.020044820605
2014-01-27,122.363852773448
2014-01-28,172.243274730567
2014-01-29,156.244710494817
2014-01-30,331.906835355101
2014-01-31,125.305143439206
2014-02-01,429.035948257987
2014-02-02,294.441876226789
2014-02-03,300.149595825456
2014-02-04,271.699685281526
2014-02-05,88.0529050426905
2014-02-06,206.331751090883
2014-02-07,772.684556787732
2014-02-08,424.27941359639
2014-02-09,168.122475232922
2014-02-10,379.386858945922
2014-02-11,356.744806215079
2014-02-12,131.201936785103
2014-02-13,384.853723720989
2014-02-14,851.200589092249
2014-02-15,177.455547958916
2014-02-16,319.087563370504
2014-02-17,475.559076621511
2014-02-18,166.00997908319
2014-02-19,161.882581648901
2014-02-20,2455.95512633083
2014-02-21,826.785295047901
2014-02-22,70.5944646887948
2014-02-23,85.8469950870161
2014-02-24,893.284577879216
2014-02-25,2512.12793623618
2014-02-26,533.478087850403
2014-02-27,312.845173941105
2014-02-28,234.037260438351
2014-03-01,104.491992058439
2014-03-02,83.1770805469307
