t,indicators_mvrv_account_based
2011-07-09,1.99310609444027
2011-07-10,2.04924759219147
2011-07-11,2.0062639147177
2011-07-12,1.95251326926603
2011-07-13,1.93156654056485
2011-07-14,1.91896410767441
2011-07-15,1.91886571999122
2011-07-16,1.87357704308696
2011-07-17,1.83029964477857
2011-07-18,1.82086141075957
2011-07-19,1.97158223766837
2011-07-20,1.98036337159972
2011-07-21,1.9640590818516
2011-07-22,1.96239288924439
2011-07-23,1.96265991563956
2011-07-24,1.97177787633814
2011-07-25,2.02452331774944
2011-07-26,1.99333389917802
2011-07-27,1.99479110160816
2011-07-28,1.94969019812978
2011-07-29,1.93200645421409
2011-07-30,1.92910395379766
2011-07-31,1.90306558024256
2011-08-01,1.89882549714038
2011-08-02,1.80970790523017
2011-08-03,1.59842981603433
2011-08-04,1.51948825926764
2011-08-05,1.52643380108814
2011-08-06,1.28039586487331
2011-08-07,1.13963542903481
2011-08-08,1.15872037274079
2011-08-09,1.40453098981049
2011-08-10,1.50046241524399
2011-08-11,1.46760837209713
2011-08-12,1.38979094087644
2011-08-13,1.42240249914005
2011-08-14,1.55803701341247
2011-08-15,1.67429237518849
2011-08-16,1.64328432001369
2011-08-17,1.61687327583659
2011-08-18,1.61340155812726
2011-08-19,1.66476688523627
2011-08-20,1.69370918616717
2011-08-21,1.6778888365729
2011-08-22,1.64305558362041
2011-08-23,1.62270024655372
2011-08-24,1.60939256370132
2011-08-25,1.51139073413622
2011-08-26,1.33615568896815
2011-08-27,1.32425471055988
2011-08-28,1.35449655672335
2011-08-29,1.37882854440636
2011-08-30,1.35466447735356
2011-08-31,1.31554659890826
2011-09-01,1.26727042267594
2011-09-02,1.29260480765269
2011-09-03,1.31641956639452
2011-09-04,1.27424084970811
2011-09-05,1.19973840672491
2011-09-06,1.04365227080528
2011-09-07,1.08100773129327
2011-09-08,1.07106470708856
2011-09-09,0.852362311910417
2011-09-10,0.78890898787036
2011-09-11,0.852859693290682
2011-09-12,1.00134368917758
2011-09-13,0.96195130230795
2011-09-14,0.92562965912903
2011-09-15,0.849275298226507
2011-09-16,0.791717150715222
2011-09-17,0.791108757973905
2011-09-18,0.802777291719165
2011-09-19,0.857936222804603
2011-09-20,0.979780364168788
2011-09-21,0.953454986832429
2011-09-22,0.909946666993242
2011-09-23,0.915810134826456
2011-09-24,0.906965732691587
2011-09-25,0.895879792932149
2011-09-26,0.844534179306091
2011-09-27,0.81774599167271
2011-09-28,0.802457297803287
2011-09-29,0.791813393853303
2011-09-30,0.828856950875328
2011-10-01,0.843755553116335
2011-10-02,0.839188645524804
2011-10-03,0.832807528369494
2011-10-04,0.834028527829617
2011-10-05,0.823863901550236
2011-10-06,0.796172743744732
2011-10-07,0.762363004078405
2011-10-08,0.689208227954568
2011-10-09,0.700955232460833
2011-10-10,0.69632511418239
2011-10-11,0.674479464463205
2011-10-12,0.682565623347926
2011-10-13,0.695715775140703
2011-10-14,0.686667587773529
2011-10-15,0.670706724183147
2011-10-16,0.645142614205655
2011-10-17,0.507782226727719
2011-10-18,0.458756728397818
2011-10-19,0.404506124226483
2011-10-20,0.401221116329028
2011-10-21,0.442136789206102
2011-10-22,0.507454367753131
2011-10-23,0.543914704253843
2011-10-24,0.510718882587172
2011-10-25,0.47882125959205
2011-10-26,0.483122627325428
2011-10-27,0.503012880784708
2011-10-28,0.547101591867175
2011-10-29,0.612288189208997
2011-10-30,0.609280850503659
2011-10-31,0.561622964298324
2011-11-01,0.569252873844992
2011-11-02,0.570640654747575
2011-11-03,0.570825859430557
2011-11-04,0.559598494112126
2011-11-05,0.541968754876558
2011-11-06,0.526262799906351
2011-11-07,0.530549336990619
2011-11-08,0.546438365956954
2011-11-09,0.546321961839194
2011-11-10,0.532112911360608
2011-11-11,0.535922447053266
2011-11-12,0.56027828003382
2011-11-13,0.550817782751083
2011-11-14,0.459009311707286
2011-11-15,0.426215882952689
2011-11-16,0.471240392267783
2011-11-17,0.450539452561122
2011-11-18,0.445152421577358
2011-11-19,0.43843346980407
2011-11-20,0.459836937871821
2011-11-21,0.444838631335675
2011-11-22,0.462018996240378
2011-11-23,0.469386156847217
2011-11-24,0.479078642014247
2011-11-25,0.495606158750742
2011-11-26,0.499584459884266
2011-11-27,0.497172784592046
2011-11-28,0.513748185683377
2011-11-29,0.569972900425414
2011-11-30,0.582212758869594
2011-12-01,0.620667258846346
2011-12-02,0.626637742844628
2011-12-03,0.612622656050296
2011-12-04,0.56391758086767
2011-12-05,0.586344680962364
2011-12-06,0.60458846201198
2011-12-07,0.609222617677779
2011-12-08,0.605662859406318
2011-12-09,0.610457271810569
2011-12-10,0.613313948221526
2011-12-11,0.659672877702659
2011-12-12,0.656439750508089
2011-12-13,0.656755529986626
2011-12-14,0.648019962007462
2011-12-15,0.649392776310703
2011-12-16,0.65465342655632
2011-12-17,0.656388014708684
2011-12-18,0.657455518237686
2011-12-19,0.689906602422479
2011-12-20,0.816011202349375
2011-12-21,0.808218204904224
2011-12-22,0.791279049761855
2011-12-23,0.800296263963069
2011-12-24,0.801419091984465
2011-12-25,0.843200869813488
2011-12-26,0.826449012583402
2011-12-27,0.81824350679616
2011-12-28,0.841189876210238
2011-12-29,0.858267838258193
2011-12-30,0.85476083869015
2011-12-31,0.906327896189905
2012-01-01,1.00460809937887
2012-01-02,1.07306297417357
2012-01-03,1.02312048653309
2012-01-04,1.03580933594317
2012-01-05,1.24385093129157
2012-01-06,1.36704366477566
