t,o
2010-02-27,"{'0001_001': 0, '001_01': 4.6575533872057e-09, '01_1': 6.98633008080855e-07, '100_1k': 0.0527658647912252, '10_100': 0.563725469830698, '10k_100k': 0.222018662816423, '1_10': 1.18488158170513e-05, '1k_10k': 0.161477450455276, 'above_100k': 0, 'less_0001': 0}"
2010-02-28,"{'0001_001': 0, '001_01': 4.64069424785948e-09, '01_1': 6.96104137178922e-07, '100_1k': 0.0531317493096967, '10_100': 0.562543457781284, '10k_100k': 0.226180555491101, '1_10': 1.18059261665545e-05, '1k_10k': 0.15813173074692, 'above_100k': 0, 'less_0001': 0}"
2010-03-01,"{'0001_001': 0, '001_01': 4.61979118543842e-09, '01_1': 6.92968677815763e-07, '100_1k': 0.051437193938834, '10_100': 0.561164543102652, '10k_100k': 0.226108828420955, '1_10': 1.17527487757553e-05, '1k_10k': 0.161276984200314, 'above_100k': 0, 'less_0001': 0}"
2010-03-02,"{'0001_001': 0, '001_01': 4.59981600735971e-09, '01_1': 6.89972401103956e-07, '100_1k': 0.0521577506899724, '10_100': 0.559750124195032, '10k_100k': 0.226396122355106, '1_10': 1.17019319227231e-05, '1k_10k': 0.16168360625575, 'above_100k': 0, 'less_0001': 0}"
2010-03-03,"{'0001_001': 0, '001_01': 4.58379171250458e-09, '01_1': 6.87568756875688e-07, '100_1k': 0.0520906444811148, '10_100': 0.558785648148148, '10k_100k': 0.22982451870187, '1_10': 1.16611661166117e-05, '1k_10k': 0.159286835350202, 'above_100k': 0, 'less_0001': 0}"
2010-03-04,"{'0001_001': 0, '001_01': 4.56443845995846e-09, '01_1': 6.8466576899377e-07, '100_1k': 0.0518250678960221, '10_100': 0.557727261108702, '10k_100k': 0.229516018896775, '1_10': 1.16119314421343e-05, '1k_10k': 0.160919350936851, 'above_100k': 0, 'less_0001': 0}"
2010-03-05,"{'0001_001': 0, '001_01': 4.54669455305993e-09, '01_1': 6.82004182958989e-07, '100_1k': 0.0522146721833227, '10_100': 0.556786746385378, '10k_100k': 0.233329621715013, '1_10': 1.15667909429845e-05, '1k_10k': 0.157656706374466, 'above_100k': 0, 'less_0001': 0}"
2010-03-06,"{'0001_001': 0, '001_01': 4.52847277255746e-09, '01_1': 6.79270915883618e-07, '100_1k': 0.0519374844333748, '10_100': 0.555778000679271, '10k_100k': 0.232779427148194, '1_10': 1.15204347333862e-05, '1k_10k': 0.159492883505038, 'above_100k': 0, 'less_0001': 0}"
2010-03-07,"{'0001_001': 0, '001_01': 4.51019303626195e-09, '01_1': 6.76528955439293e-07, '100_1k': 0.05247201425221, '10_100': 0.554569705033375, '10k_100k': 0.23466082897348, '1_10': 1.14739310842504e-05, '1k_10k': 0.158285296770702, 'above_100k': 0, 'less_0001': 0}"
2010-03-08,"{'0001_001': 0, '001_01': 8.9950302457892e-09, '01_1': 6.7462726843419e-07, '100_1k': 0.0534264094088016, '10_100': 0.553912509838314, '10k_100k': 0.237956850839911, '1_10': 1.14416784726439e-05, '1k_10k': 0.154692104612202, 'above_100k': 0, 'less_0001': 0}"
2010-03-09,"{'0001_001': 0, '001_01': 8.96559453098734e-09, '01_1': 6.7241958982405e-07, '100_1k': 0.0528257088423176, '10_100': 0.553130906645747, '10k_100k': 0.239150581642945, '1_10': 1.14042362434159e-05, '1k_10k': 0.154880717247562, 'above_100k': 0, 'less_0001': 0}"
2010-03-10,"{'0001_001': 0, '001_01': 8.93315764789959e-09, '01_1': 6.69986823592469e-07, '100_1k': 0.053013801728566, '10_100': 0.552089586171472, '10k_100k': 0.23886600710186, '1_10': 1.22562922929182e-05, '1k_10k': 0.156017669785828, 'above_100k': 0, 'less_0001': 0}"
2010-03-11,"{'0001_001': 0, '001_01': 8.90670229347584e-09, '01_1': 6.68002672010688e-07, '100_1k': 0.0535916054330884, '10_100': 0.551122587397016, '10k_100k': 0.239628216432866, '1_10': 1.22199955466489e-05, '1k_10k': 0.155644693832109, 'above_100k': 0, 'less_0001': 0}"
