t,o
2010-02-08,"{'1d_1w': 0.0384124227409715, '1m_3m': 0.189989273126628, '1w_1m': 0.0947836747203351, '1y_2y': 0.0892373499514737, '24h': 0.00817285590233437, '2y_3y': 0, '3m_6m': 0.132527726413649, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.446876697144608, '7y_10y': 0, 'more_10y': 0}"
2010-02-09,"{'1d_1w': 0.0411320850588146, '1m_3m': 0.188177129646096, '1w_1m': 0.0914143441477605, '1y_2y': 0.0931886689870684, '24h': 0.0157516323264145, '2y_3y': 0, '3m_6m': 0.128273941210843, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.442062198623002, '7y_10y': 0, 'more_10y': 0}"
2010-02-10,"{'1d_1w': 0.0489514027675884, '1m_3m': 0.183102026360394, '1w_1m': 0.0863204229805965, '1y_2y': 0.0957777631612234, '24h': 0.0195805611070353, '2y_3y': 0, '3m_6m': 0.127526388221306, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.438741435401857, '7y_10y': 0, 'more_10y': 0}"
2010-02-11,"{'1d_1w': 0.0604816363544763, '1m_3m': 0.189803647538919, '1w_1m': 0.0830312559826692, '1y_2y': 0.0988210992997128, '24h': 0.00609602498866442, '2y_3y': 0, '3m_6m': 0.127739195929266, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.434027139906292, '7y_10y': 0, 'more_10y': 0}"
2010-02-12,"{'1d_1w': 0.0539605325844387, '1m_3m': 0.191190421503974, '1w_1m': 0.0895196910809659, '1y_2y': 0.101226147789674, '24h': 0.00644417140994459, '2y_3y': 0, '3m_6m': 0.128030656202202, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.429628379428801, '7y_10y': 0, 'more_10y': 0}"
2010-02-13,"{'1d_1w': 0.0537232318699673, '1m_3m': 0.192006711041308, '1w_1m': 0.0888005085633086, '1y_2y': 0.103557450203176, '24h': 0.00882457058808865, '2y_3y': 0, '3m_6m': 0.128461860244808, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.424625667489343, '7y_10y': 0, 'more_10y': 0}"
2010-02-14,"{'1d_1w': 0.0547931995734233, '1m_3m': 0.192083033654919, '1w_1m': 0.088937278341311, '1y_2y': 0.10617296198011, '24h': 0.00916801170605888, '2y_3y': 0, '3m_6m': 0.129336836884006, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.419508677860172, '7y_10y': 0, 'more_10y': 0}"
2010-02-15,"{'1d_1w': 0.0550653134800109, '1m_3m': 0.192137689211547, '1w_1m': 0.0925999555522631, '1y_2y': 0.108946341704324, '24h': 0.00642021878163814, '2y_3y': 0, '3m_6m': 0.12996001185273, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.414870469417488, '7y_10y': 0, 'more_10y': 0}"
2010-02-16,"{'1d_1w': 0.0465868524525705, '1m_3m': 0.192543988990465, '1w_1m': 0.103878413447361, '1y_2y': 0.111963039418067, '24h': 0.00514271601297552, '2y_3y': 0, '3m_6m': 0.130099051410597, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.409785938267964, '7y_10y': 0, 'more_10y': 0}"
2010-02-17,"{'1d_1w': 0.0304975739659427, '1m_3m': 0.181647162297525, '1w_1m': 0.109306403459481, '1y_2y': 0.113996726197747, '24h': 0.0183646478219442, '2y_3y': 0, '3m_6m': 0.141213031687474, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.404974454569886, '7y_10y': 0, 'more_10y': 0}"
