t,transactions_transfers_from_exchanges_count
2014-02-09,1691
2014-02-10,2255
2014-02-11,1045
2014-02-12,916
2014-02-13,936
2014-02-14,2032
2014-02-15,1683
2014-02-16,1827
2014-02-17,1833
2014-02-18,2120
2014-02-19,2127
2014-02-20,2265
2014-02-21,2106
2014-02-22,1596
2014-02-23,1947
2014-02-24,2303
2014-02-25,3362
2014-02-26,2747
2014-02-27,2298
2014-02-28,2186
2014-03-01,1874
2014-03-02,1536
2014-03-03,2974
2014-03-04,2881
2014-03-05,2312
2014-03-06,2139
2014-03-07,2285
2014-03-08,2611
2014-03-09,2612
2014-03-10,2694
2014-03-11,2503
2014-03-12,2848
2014-03-13,2696
2014-03-14,2908
2014-03-15,2540
2014-03-16,3033
2014-03-17,2847
2014-03-18,2863
2014-03-19,2647
2014-03-20,2955
2014-03-21,3539
2014-03-22,3886
2014-03-23,2728
2014-03-24,3199
2014-03-25,2965
2014-03-26,3001
2014-03-27,3619
2014-03-28,3300
2014-03-29,2654
2014-03-30,2820
2014-03-31,3128
2014-04-01,3648
2014-04-02,3873
2014-04-03,3199
2014-04-04,3454
2014-04-05,2695
2014-04-06,2674
2014-04-07,2992
2014-04-08,2394
2014-04-09,3204
2014-04-10,3414
2014-04-11,3638
2014-04-12,2318
2014-04-13,2605
2014-04-14,3709
2014-04-15,3549
2014-04-16,3877
2014-04-17,3802
2014-04-18,3815
2014-04-19,3401
2014-04-20,3021
2014-04-21,3490
2014-04-22,3887
2014-04-23,3412
2014-04-24,3484
2014-04-25,3365
2014-04-26,2551
2014-04-27,2724
2014-04-28,3513
2014-04-29,3447
2014-04-30,3357
2014-05-01,3002
2014-05-02,2864
2014-05-03,2291
2014-05-04,2595
2014-05-05,3344
2014-05-06,3914
2014-05-07,3387
2014-05-08,3380
2014-05-09,3349
2014-05-10,3143
2014-05-11,3755
2014-05-12,4208
2014-05-13,4216
2014-05-14,3872
2014-05-15,4263
2014-05-16,3996
2014-05-17,3517
2014-05-18,3563
2014-05-19,4330
2014-05-20,4561
2014-05-21,4106
2014-05-22,4608
2014-05-23,4802
2014-05-24,3206
2014-05-25,4201
2014-05-26,4158
2014-05-27,4330
2014-05-28,4456
2014-05-29,4387
2014-05-30,4438
2014-05-31,3590
2014-06-01,3925
2014-06-02,4237
2014-06-03,4614
2014-06-04,4937
2014-06-05,4674
2014-06-06,4518
2014-06-07,3647
2014-06-08,3528
2014-06-09,4370
2014-06-10,4390
2014-06-11,4235
2014-06-12,5121
2014-06-13,4468
2014-06-14,3875
2014-06-15,3784
2014-06-16,4448
2014-06-17,5109
2014-06-18,4567
2014-06-19,4392
2014-06-20,4846
2014-06-21,4361
2014-06-22,4078
2014-06-23,4592
2014-06-24,3678
2014-06-25,4301
2014-06-26,3927
2014-06-27,4298
2014-06-28,3480
2014-06-29,3137
2014-06-30,4398
2014-07-01,4538
2014-07-02,4218
2014-07-03,4641
2014-07-04,3830
2014-07-05,3249
2014-07-06,3108
2014-07-07,3815
2014-07-08,3924
2014-07-09,3897
2014-07-10,4032
2014-07-11,3787
2014-07-12,3252
2014-07-13,3425
2014-07-14,4081
2014-07-15,4406
2014-07-16,3910
2014-07-17,4038
2014-07-18,3977
2014-07-19,3537
2014-07-20,3421
2014-07-21,3830
2014-07-22,3929
2014-07-23,3638
2014-07-24,4136
2014-07-25,3790
2014-07-26,2725
2014-07-27,3096
2014-07-28,3945
2014-07-29,3439
2014-07-30,3944
2014-07-31,3949
2014-08-01,3808
2014-08-02,3292
2014-08-03,3355
2014-08-04,4297
2014-08-05,4605
2014-08-06,4705
2014-08-07,4114
2014-08-08,3828
2014-08-09,3346
2014-08-10,3587
2014-08-11,4744
2014-08-12,4916
2014-08-13,4801
2014-08-14,4806
2014-08-15,4705
2014-08-16,6866
2014-08-17,3696
2014-08-18,4576
2014-08-19,4771
2014-08-20,4587
2014-08-21,4119
2014-08-22,4110
2014-08-23,3017
2014-08-24,3348
2014-08-25,3668
2014-08-26,4117
