t,entities_active_count
2012-04-17,7633
2012-04-18,7982
2012-04-19,7188
2012-04-20,7926
2012-04-21,7029
2012-04-22,6532
2012-04-23,7313
2012-04-24,7488
2012-04-25,7594
2012-04-26,7205
2012-04-27,7451
2012-04-28,6893
2012-04-29,6908
2012-04-30,7326
2012-05-01,7827
2012-05-02,8017
2012-05-03,7686
2012-05-04,8253
2012-05-05,7050
2012-05-06,6907
2012-05-07,8034
2012-05-08,7739
2012-05-09,7774
2012-05-10,7265
2012-05-11,7924
2012-05-12,6827
2012-05-13,6725
2012-05-14,8074
2012-05-15,7751
2012-05-16,7553
2012-05-17,7587
2012-05-18,7464
2012-05-19,7185
2012-05-20,7250
2012-05-21,7890
2012-05-22,8425
2012-05-23,8711
2012-05-24,7996
2012-05-25,7931
2012-05-26,7470
2012-05-27,7119
2012-05-28,8039
2012-05-29,9802
2012-05-30,8824
2012-05-31,9396
2012-06-01,8606
2012-06-02,7325
2012-06-03,7885
2012-06-04,8409
2012-06-05,10906
2012-06-06,8694
2012-06-07,9592
2012-06-08,8820
2012-06-09,8684
2012-06-10,9461
2012-06-11,8828
2012-06-12,9036
2012-06-13,10854
2012-06-14,10780
2012-06-15,11037
2012-06-16,10120
2012-06-17,9855
2012-06-18,10203
2012-06-19,10097
2012-06-20,10620
2012-06-21,10161
2012-06-22,10096
2012-06-23,10602
2012-06-24,9475
2012-06-25,10744
2012-06-26,11156
2012-06-27,11414
2012-06-28,10861
2012-06-29,11424
2012-06-30,11010
2012-07-01,11465
2012-07-02,11543
2012-07-03,12015
2012-07-04,10172
2012-07-05,9177
2012-07-06,10679
2012-07-07,9726
2012-07-08,10347
2012-07-09,11168
2012-07-10,11654
2012-07-11,11306
2012-07-12,11324
2012-07-13,11098
2012-07-14,10618
2012-07-15,10690
2012-07-16,10909
2012-07-17,13188
2012-07-18,11051
2012-07-19,10409
2012-07-20,11164
2012-07-21,11617
2012-07-22,13038
2012-07-23,14301
2012-07-24,12793
2012-07-25,11452
2012-07-26,11693
2012-07-27,11529
2012-07-28,15633
2012-07-29,11656
2012-07-30,10884
2012-07-31,25779
2012-08-01,13943
2012-08-02,14542
2012-08-03,12471
2012-08-04,11808
2012-08-05,12175
2012-08-06,14444
2012-08-07,13740
2012-08-08,17266
2012-08-09,13631
2012-08-10,14589
