t,indicators_hodled_lost_coins
2010-07-04,3008793.5124768014
2010-07-05,3016018.748574732
2010-07-06,3023494.8708966947
2010-07-07,3028816.544554021
2010-07-08,3035679.9623624203
2010-07-09,3045874.835327118
2010-07-10,3056005.1471774434
2010-07-11,3064321.7880999907
2010-07-12,3088246.685012102
2010-07-13,3119390.3692897754
2010-07-14,3148152.8366963468
2010-07-15,3175100.0044778017
2010-07-16,3187908.723426381
2010-07-17,3194274.776865452
2010-07-18,3195665.1748037464
2010-07-19,3200381.8996742745
2010-07-20,3208375.172606144
2010-07-21,3215799.7394346013
2010-07-22,3223610.7998392065
2010-07-23,3231173.605668569
2010-07-24,3233823.4292919654
2010-07-25,3236279.0057134144
2010-07-26,3244608.241011255
2010-07-27,3227117.031503283
2010-07-28,3229120.6151539194
2010-07-29,3237610.1019268585
2010-07-30,3246828.9315226567
2010-07-31,3256455.1559621133
2010-08-01,3264936.5909479135
2010-08-02,3277121.7290990297
2010-08-03,3288383.9571981397
2010-08-04,3297136.093753396
2010-08-05,3308052.3206976294
2010-08-06,3315478.0346974307
2010-08-07,3320509.318186722
2010-08-08,3328215.9545775885
2010-08-09,3335280.129639861
2010-08-10,3342757.4598643393
2010-08-11,3352618.1000617496
2010-08-12,3363005.6002663192
2010-08-13,3372340.873941604
2010-08-14,3386744.088365925
2010-08-15,3398222.5578659256
2010-08-16,3405047.5305589978
2010-08-17,3409741.9765197346
2010-08-18,3415617.8554563043
2010-08-19,3420938.11851711
2010-08-20,3430643.138691253
2010-08-21,3439028.7910423866
2010-08-22,3446352.8348949314
2010-08-23,3457130.1386487107
2010-08-24,3468460.774799452
2010-08-25,3479698.1096159974
2010-08-26,3490881.7231787452
2010-08-27,3499207.357298977
2010-08-28,3506914.4425287955
2010-08-29,3515405.3407605262
2010-08-30,3523075.3826337345
2010-08-31,3528818.8371553654
2010-09-01,3535931.5366584216
2010-09-02,3543055.932111433
2010-09-03,3550393.355291136
2010-09-04,3559231.3915751805
2010-09-05,3561411.6066364152
2010-09-06,3565111.666560808
2010-09-07,3571989.839431561
2010-09-08,3579818.297331704
2010-09-09,3582560.3914618664
2010-09-10,3591375.4582550293
2010-09-11,3599942.924936062
2010-09-12,3608811.741369934
2010-09-13,3615488.0746201626
2010-09-14,3625240.1095674504
2010-09-15,3631064.350214785
2010-09-16,3640713.2899543666
2010-09-17,3641702.194689296
2010-09-18,3623619.07312384
2010-09-19,3633909.636570643
2010-09-20,3643377.736645315
