t,addresses_accumulation_count
2012-12-08,42467
2012-12-09,42582
2012-12-10,42708
2012-12-11,42873
2012-12-12,43016
2012-12-13,43076
2012-12-14,43217
2012-12-15,43373
2012-12-16,43490
2012-12-17,43577
2012-12-18,43694
2012-12-19,43740
2012-12-20,43202
2012-12-21,43125
2012-12-22,43180
2012-12-23,43077
2012-12-24,42484
2012-12-25,42533
2012-12-26,42593
2012-12-27,42572
2012-12-28,42628
2012-12-29,42638
2012-12-30,42688
2012-12-31,42753
2013-01-01,42795
2013-01-02,42870
2013-01-03,42854
2013-01-04,42894
2013-01-05,42916
2013-01-06,42890
2013-01-07,42902
2013-01-08,42855
2013-01-09,42848
2013-01-10,42896
2013-01-11,42944
2013-01-12,42987
2013-01-13,43000
2013-01-14,43014
2013-01-15,43069
2013-01-16,43126
2013-01-17,43099
2013-01-18,43130
2013-01-19,43161
2013-01-20,43201
2013-01-21,43225
2013-01-22,43202
2013-01-23,43215
2013-01-24,43233
2013-01-25,43299
2013-01-26,43269
2013-01-27,43343
2013-01-28,43435
2013-01-29,43549
2013-01-30,43693
2013-01-31,43667
2013-02-01,43485
2013-02-02,43361
2013-02-03,43287
2013-02-04,43360
2013-02-05,43314
2013-02-06,43310
2013-02-07,43366
2013-02-08,43436
2013-02-09,43462
2013-02-10,43500
2013-02-11,43570
2013-02-12,43643
2013-02-13,43666
2013-02-14,43666
2013-02-15,43641
2013-02-16,43663
2013-02-17,43715
2013-02-18,43719
2013-02-19,43767
2013-02-20,43837
2013-02-21,43878
2013-02-22,43905
2013-02-23,43918
2013-02-24,43971
2013-02-25,43988
2013-02-26,44093
2013-02-27,44229
2013-02-28,44233
2013-03-01,44320
2013-03-02,44357
2013-03-03,44405
2013-03-04,44436
2013-03-05,44473
2013-03-06,44501
2013-03-07,44452
2013-03-08,44566
2013-03-09,44741
2013-03-10,44800
2013-03-11,44927
2013-03-12,44975
2013-03-13,45077
2013-03-14,45174
2013-03-15,45307
2013-03-16,45424
2013-03-17,45463
2013-03-18,45595
2013-03-19,45821
2013-03-20,45930
2013-03-21,46101
2013-03-22,46157
2013-03-23,46014
2013-03-24,46151
2013-03-25,46287
2013-03-26,46478
2013-03-27,46672
2013-03-28,46796
2013-03-29,46926
2013-03-30,47068
2013-03-31,47231
2013-04-01,47288
2013-04-02,47441
2013-04-03,47412
2013-04-04,47578
2013-04-05,47911
2013-04-06,48159
2013-04-07,48480
2013-04-08,48907
2013-04-09,49352
2013-04-10,49361
2013-04-11,49538
2013-04-12,50131
2013-04-13,50654
2013-04-14,51152
2013-04-15,51666
2013-04-16,52344
2013-04-17,52701
2013-04-18,53073
2013-04-19,53430
2013-04-20,53827
2013-04-21,54196
2013-04-22,54592
2013-04-23,54786
2013-04-24,54881
2013-04-25,55037
2013-04-26,55516
2013-04-27,55636
2013-04-28,55772
2013-04-29,56099
2013-04-30,56172
2013-05-01,56442
2013-05-02,56702
2013-05-03,56940
2013-05-04,57208
2013-05-05,57477
2013-05-06,57686
2013-05-07,57913
2013-05-08,58016
2013-05-09,58263
2013-05-10,58437
2013-05-11,58526
2013-05-12,58726
2013-05-13,59006
2013-05-14,59272
2013-05-15,59442
2013-05-16,59795
2013-05-17,59996
2013-05-18,60242
2013-05-19,60325
2013-05-20,60440
2013-05-21,60654
2013-05-22,60918
2013-05-23,61134
2013-05-24,61074
2013-05-25,60769
2013-05-26,60656
2013-05-27,60778
2013-05-28,60824
2013-05-29,61006
2013-05-30,61155
2013-05-31,61392
2013-06-01,61600
2013-06-02,61515
2013-06-03,61606
2013-06-04,61671
2013-06-05,61844
2013-06-06,62009
2013-06-07,62107
2013-06-08,62240
2013-06-09,62283
2013-06-10,62429
2013-06-11,62667
2013-06-12,62873
