t,distribution_balance_exchanges
2012-10-02,1613.73782693
2012-10-03,1253.5574090999999
2012-10-04,1983.51206851
2012-10-05,2414.45804031
2012-10-06,3242.59826435
2012-10-07,4989.512156070001
2012-10-08,169.6351482200011
2012-10-09,177.8944314500011
2012-10-10,748.9923225400012
2012-10-11,263.18708910000123
2012-10-12,1042.8013890700015
2012-10-13,1487.3692931000014
2012-10-14,2127.0588774200014
2012-10-15,21.43705378000144
2012-10-16,2110.0048446800015
2012-10-17,897.7817433400016
2012-10-18,2152.5313254800017
2012-10-19,456.09410786000143
2012-10-20,315.60284789000144
2012-10-21,684.1878356500015
2012-10-22,1023.1963926500015
2012-10-23,1652.6663882800017
2012-10-24,5096.198599650002
2012-10-25,5796.066923780002
2012-10-26,174.06860293000204
2012-10-27,364.386055140002
2012-10-28,632.3460928800021
2012-10-29,55.06086996000201
2012-10-30,59.50167317000202
2012-10-31,673.341763430002
2012-11-01,93.54774665000198
2012-11-02,151.407754520002
2012-11-03,789.570944850002
2012-11-04,1448.162489460002
2012-11-05,540.670748800002
2012-11-06,194.31922714000206
2012-11-07,4598.188314010003
2012-11-08,288.5878504900017
2012-11-09,2181.8857961800018
2012-11-10,254.76611763000176
2012-11-11,461.38176428000173
2012-11-12,344.9552430000017
2012-11-13,204.3150670200017
2012-11-14,355.92469559000176
2012-11-15,884.9219725600018
2012-11-16,223.78059255000187
2012-11-17,735.6315792900019
2012-11-18,942.126370920002
2012-11-19,1076.660586990002
2012-11-20,196.18603448000198
2012-11-21,340.68896095000196
2012-11-22,1839.3707357100018
2012-11-23,882.0413880300019
2012-11-24,827.551383080002
2012-11-25,380.0770044500019
2012-11-26,121.93014022000189
2012-11-27,660.1779167000019
2012-11-28,1424.7083344700018
2012-11-29,2253.9655908600016
2012-11-30,397.0443820000018
2012-12-01,763.2569632700018
2012-12-02,1852.1053518600015
2012-12-03,2821.9818477800013
2012-12-04,197.3118869300014
2012-12-05,744.5360772100014
2012-12-06,975.5787396800014
2012-12-07,1426.0184569400014
2012-12-08,1462.5068712100015
2012-12-09,1932.7098470600015
2012-12-10,321.9132663600014
2012-12-11,342.9901848000014
2012-12-12,894.4910868500014
2012-12-13,1210.6796875000014
2012-12-14,2533.0497766200015
2012-12-15,2992.6073155400013
2012-12-16,3060.4643611400015
2012-12-17,1238.0887220900015
2012-12-18,2359.3686680600013
2012-12-19,3340.8913260900013
2012-12-20,4229.46123778
2012-12-21,4850.6484451100005
2012-12-22,4609.761013430001
2012-12-23,5538.22746704
2012-12-24,6144.17153668
2012-12-25,7164.23666488
2012-12-26,3390.1587318199995
2012-12-27,3893.976734059999
2012-12-28,1211.689734489999
2012-12-29,1514.971637839999
2012-12-30,1873.4122978099988
2012-12-31,4330.257310149999
2013-01-01,2575.409334859999
2013-01-02,3184.319143549999
2013-01-03,2830.291415799999
2013-01-04,2819.834982289999
2013-01-05,3527.8430155799992
2013-01-06,3932.9763192099995
2013-01-07,342.7378773299989
