t,transactions_transfers_volume_from_exchanges_sum
2013-11-17,13350.6071834878
2013-11-18,30854.2106642961
2013-11-19,30837.0038388256
2013-11-20,36308.3906438176
2013-11-21,25298.460844972
2013-11-22,32419.9713860621
2013-11-23,13442.9771846773
2013-11-24,12527.4834270386
2013-11-25,18959.7320810036
2013-11-26,23008.1249528924
2013-11-27,22202.5396906405
2013-11-28,35255.9477236876
2013-11-29,70004.0252060288
2013-11-30,16341.3961969875
2013-12-01,19291.0743472364
2013-12-02,20434.6589782707
2013-12-03,9075.05138148895
2013-12-04,24088.4909743704
2013-12-05,20888.9440162613
2013-12-06,26386.0219559774
2013-12-07,22863.4977795569
2013-12-08,9454.32850027867
2013-12-09,13481.200884337
2013-12-10,10069.8463591101
2013-12-11,9480.30554873123
2013-12-12,10696.6469568246
2013-12-13,8261.53979873963
2013-12-14,9653.37859458595
2013-12-15,8490.96744703519
2013-12-16,15684.3802639185
2013-12-17,11923.2033413856
2013-12-18,32686.378371796
2013-12-19,21357.1997217552
2013-12-20,14629.8045763311
2013-12-21,11234.619369627
2013-12-22,35542.0687593602
2013-12-23,17965.8142356714
2013-12-24,25798.5144657887
2013-12-25,19920.7828422632
2013-12-26,12407.2239265111
2013-12-27,10882.1255254831
2013-12-28,5501.7304886957
2013-12-29,4236.74733921826
2013-12-30,16685.9076643977
2013-12-31,6381.67132660396
2014-01-01,5782.65578494109
2014-01-02,7530.03120124014
2014-01-03,14019.8228404387
2014-01-04,7156.31760504766
2014-01-05,25226.2163917732
2014-01-06,9387.76066744676
2014-01-07,16879.5145030618
2014-01-08,10962.2261562197
2014-01-09,11308.2568412651
2014-01-10,5697.99677749002
2014-01-11,7210.89555045719
2014-01-12,8024.50152407648
2014-01-13,20852.6994319784
2014-01-14,7005.3353155492
2014-01-15,9122.01017952862
2014-01-16,8272.68819241739
2014-01-17,8673.84321697388
2014-01-18,4656.3403068941
2014-01-19,8384.31426803939
2014-01-20,10494.9010553773
2014-01-21,11766.6654561081
2014-01-22,7322.53035039218
2014-01-23,4772.06388385167
2014-01-24,6490.2647581903
2014-01-25,5681.2409932175
2014-01-26,7871.5120243781
2014-01-27,20657.1025371525
2014-01-28,10753.6587220582
2014-01-29,9925.56831797331
2014-01-30,5901.60500617657
2014-01-31,6458.89186483404
2014-02-01,3959.18408058087
2014-02-02,8185.85994685892
2014-02-03,4756.91642242225
2014-02-04,5438.75677848279
2014-02-05,6270.04250028462
2014-02-06,9288.63055521207
2014-02-07,35852.8549932808
2014-02-08,10693.6151346645
2014-02-09,9555.50049058897
2014-02-10,29848.3868425044
2014-02-11,9948.44902932526
2014-02-12,6398.55739020073
2014-02-13,4707.17039388818
2014-02-14,14800.6460003148
2014-02-15,19775.5633502393
2014-02-16,20648.5786718441
2014-02-17,16183.6442418822
2014-02-18,13514.9416039614
2014-02-19,9385.34957936169
2014-02-20,19082.5606804336
2014-02-21,14657.5077445685
2014-02-22,14524.1838007643
2014-02-23,12967.9677088895
2014-02-24,27804.2745517934
2014-02-25,43532.1702975598
2014-02-26,25868.1692962269
2014-02-27,18391.5347281498
2014-02-28,11136.5098245145
2014-03-01,8275.67082129579
2014-03-02,7487.40865474102
2014-03-03,29915.1752473078
2014-03-04,32222.8723496686
2014-03-05,13682.8275907959
2014-03-06,22697.675334415
2014-03-07,10874.3556408402
2014-03-08,10197.0920915373
2014-03-09,9587.739737478
2014-03-10,13497.0802529112
2014-03-11,8029.82603136499
2014-03-12,21965.4450195063
2014-03-13,12547.6311519455
2014-03-14,7488.80647617156
2014-03-15,6783.42659939711
2014-03-16,4546.94162903902
2014-03-17,12222.7808266604
2014-03-18,17959.0622659074
2014-03-19,19292.4592648263
2014-03-20,12486.8072040221
2014-03-21,19087.6231560501
2014-03-22,10000.4420541108
2014-03-23,7157.79176426492
2014-03-24,11330.9572526476
2014-03-25,16978.3241048147
2014-03-26,18722.2587310677
2014-03-27,45011.7355827302
2014-03-28,43175.9054460635
2014-03-29,10053.5265451234
2014-03-30,27003.4927550244
2014-03-31,21278.5599402588
2014-04-01,12930.5480821971
2014-04-02,22643.3873652182
2014-04-03,19783.6225877798
2014-04-04,22454.8274508762
2014-04-05,24651.792357489
2014-04-06,12833.2805650149
2014-04-07,8306.68643953731
2014-04-08,7988.88259942794
2014-04-09,13752.8676086488
2014-04-10,31567.3352990161
2014-04-11,26744.6745538841
2014-04-12,9490.48392441358
2014-04-13,7379.97326682387
2014-04-14,15175.6568234317
2014-04-15,20366.2827136689
2014-04-16,14803.6555386678
2014-04-17,29374.9904474123
2014-04-18,15567.0786361183
2014-04-19,7356.28173670161
2014-04-20,6612.23050200947
2014-04-21,14075.7557979897
2014-04-22,24416.4504464466
2014-04-23,9655.474904778
2014-04-24,11685.5905245669
2014-04-25,21823.9236838068
2014-04-26,11561.7154818112
2014-04-27,11489.2773948298
2014-04-28,23953.8693568606
2014-04-29,22919.8160069005
2014-04-30,9898.77444966421
2014-05-01,10707.3969389163
2014-05-02,14928.0827391997
2014-05-03,7768.92919983919
2014-05-04,9542.62110021207
2014-05-05,9007.37104095457
2014-05-06,9158.31282965473
2014-05-07,14393.0949193929
2014-05-08,13869.7739247405
2014-05-09,8276.89802529556
2014-05-10,8283.95999676302
2014-05-11,11754.4293538722
2014-05-12,9519.38670411717
2014-05-13,11137.6053085103
2014-05-14,16925.9313885082
2014-05-15,11668.650073045
