t,mining_hash_rate_mean
2014-07-18,142073519700856000
2014-07-19,148904368629651000
2014-07-20,129687294820276000
2014-07-21,131751087246809000
2014-07-22,120273986198465000
2014-07-23,123687311676326000
2014-07-24,119528791728521000
2014-07-25,138095855220204000
2014-07-26,122267978554912000
2014-07-27,137470582401915000
2014-07-28,134515250963422000
2014-07-29,137054936295148000
2014-07-30,150722000181346000
2014-07-31,139880920767527000
2014-08-01,141323363646217000
2014-08-02,148345454853162000
2014-08-03,140706785982391000
2014-08-04,116753578144879000
2014-08-05,127513580342128000
2014-08-06,141426259017785000
2014-08-07,147918715581794000
2014-08-08,149371803263190000
2014-08-09,173943465728790000
2014-08-10,165520703873857000
2014-08-11,169969466385026000
2014-08-12,167274876956154000
2014-08-13,136965484968994000
2014-08-14,174822037568298000
2014-08-15,158799281890493000
2014-08-16,152540509782015000
2014-08-17,158057200304961000
2014-08-18,183530343223342000
2014-08-19,184998051017002000
2014-08-20,193578288338943000
2014-08-21,190533024423758000
2014-08-22,185072126960677000
2014-08-23,186241402708656000
2014-08-24,168359363007774000
2014-08-25,159533067484715000
2014-08-26,201963972574509000
2014-08-27,195127805072171000
2014-08-28,202037671126530000
2014-08-29,196606024190000000
2014-08-30,209931725678643000
2014-08-31,218670792641495000
2014-09-01,177878204586414000
2014-09-02,196306176734267000
2014-09-03,223325899472492000
2014-09-04,206744435038120000
2014-09-05,193932125445801000
2014-09-06,232165279574208000
2014-09-07,204378476975075000
2014-09-08,191313174191025000
2014-09-09,193470648077513000
2014-09-10,205664365770962000
2014-09-11,227733254024027000
2014-09-12,204883014813264000
2014-09-13,243728983376103000
2014-09-14,226526125022700000
2014-09-15,228678276752751000
2014-09-16,244554066853050000
2014-09-17,269370908813723000
2014-09-18,257455132142136000
2014-09-19,246402415027933000
2014-09-20,256084133989511000
2014-09-21,236515274350220000
2014-09-22,243809861015565000
2014-09-23,214808853085311000
2014-09-24,226100339401344000
2014-09-25,251370584955811000
2014-09-26,226899367183191000
2014-09-27,229708077381157000
2014-09-28,220389461707344000
2014-09-29,233511725722632000
2014-09-30,258243341142401000
2014-10-01,261488623252710000
2014-10-02,232356330608902000
2014-10-03,249933590760741000
2014-10-04,258346563364577000
2014-10-05,278658681757737000
2014-10-06,274991913800863000
2014-10-07,228856877268795000
2014-10-08,246768066486024000
2014-10-09,248120756103207000
2014-10-10,264016699884044000
2014-10-11,243563531504755000
2014-10-12,253076895058901000
2014-10-13,263033219870027000
2014-10-14,227816178640980000
2014-10-15,255708384711254000
2014-10-16,255052539760399000
2014-10-17,242789404869003000
2014-10-18,281901926105895000
2014-10-19,231812117518026000
2014-10-20,232081364763889000
2014-10-21,257355870029692000
2014-10-22,270817760300354000
2014-10-23,264274839738399000
2014-10-24,280010785207839000
2014-10-25,271987170039840000
2014-10-26,224427808977457000
2014-10-27,279110766442491000
2014-10-28,241440869740197000
2014-10-29,274175493842006000
2014-10-30,297380030003180000
2014-10-31,331512553891718000
2014-11-01,281557114861145000
2014-11-02,270433571710099000
2014-11-03,291959515149352000
2014-11-04,289025256682304000
2014-11-05,260342239413186000
2014-11-06,293522780596783000
2014-11-07,286428385273304000
2014-11-08,297160897228104000
2014-11-09,289621182611871000
2014-11-10,284866742800432000
2014-11-11,250948583280757000
2014-11-12,281759444117371000
2014-11-13,284094930042806000
2014-11-14,298469230080657000
2014-11-15,270687966783561000
2014-11-16,287457809386940000
2014-11-17,277193076312077000
2014-11-18,299707414521362000
2014-11-19,282210837687073000
2014-11-20,273067679117923000
2014-11-21,252418168940299000
2014-11-22,302971653694700000
2014-11-23,280159561662219000
2014-11-24,290760100860001000
2014-11-25,255874268935240000
2014-11-26,270875257398688000
2014-11-27,277040298688208000
2014-11-28,294457535528157000
2014-11-29,308470492410670000
2014-11-30,312104515408881000
2014-12-01,257942437549502000
2014-12-02,293550248819865000
2014-12-03,229966773160116000
2014-12-04,284201209384264000
2014-12-05,300494379463989000
2014-12-06,265997925065310000
2014-12-07,246590863641926000
2014-12-08,314995069052721000
2014-12-09,279960647700464000
2014-12-10,283147244520629000
2014-12-11,291856945071426000
2014-12-12,274938601869262000
2014-12-13,284542894234545000
2014-12-14,277368511435869000
2014-12-15,273427523997823000
2014-12-16,278077940164376000
2014-12-17,247042308796221000
2014-12-18,247146079535834000
2014-12-19,265559190123822000
2014-12-20,256615145101635000
2014-12-21,258576403677445000
2014-12-22,307808832200043000
2014-12-23,290974567907143000
2014-12-24,296193961612899000
2014-12-25,305831579390483000
2014-12-26,296159373539892000
2014-12-27,293932357243547000
2014-12-28,322080113413187000
2014-12-29,312888906366741000
2014-12-30,300130533562990000
2014-12-31,300123740670670000
2015-01-01,328801167788622000
2015-01-02,327570823234836000
2015-01-03,323635804395510000
2015-01-04,332302546818937000
2015-01-05,309587126940822000
2015-01-06,308408799456026000
2015-01-07,287632064199817000
2015-01-08,288424189642180000
2015-01-09,275945935707857000
2015-01-10,293182979503162000
2015-01-11,303407950528557000
2015-01-12,285253648058410000
2015-01-13,272137289512361000
2015-01-14,317233652137833000
2015-01-15,320650629921876000
2015-01-16,295082194835457000
2015-01-17,298109755407152000
2015-01-18,329683360416399000
2015-01-19,304338527393551000
2015-01-20,256215460884786000
2015-01-21,317249018836387000
