t,o
2010-03-08,"{'0001_001': 0, '001_01': 4.947266635184062e-08, '01_1': 1.0794036294947044e-06, '100_1k': 0.005307274730711283, '10_100': 0.8456166587960153, '10k_100k': 0.12256060626503856, '1_10': 1.4589939058670087e-05, '1k_10k': 0.026499741392880437, 'above_100k': 0, 'less_0001': 0}"
2010-03-09,"{'0001_001': 0, '001_01': 4.931076992043035e-08, '01_1': 1.0758713437184803e-06, '100_1k': 0.00528990698195674, '10_100': 0.8443063364339347, '10k_100k': 0.12215953378908437, '1_10': 1.4542194329261457e-05, '1k_10k': 0.028228555418581193, 'above_100k': 0, 'less_0001': 0}"
2010-03-10,"{'0001_001': 0, '001_01': 4.913236706344775e-08, '01_1': 1.071978917747951e-06, '100_1k': 0.005404765839605154, '10_100': 0.8440424146325122, '10k_100k': 0.12171756928780399, '1_10': 1.5382897469683096e-05, '1k_10k': 0.028818746231324115, 'above_100k': 0, 'less_0001': 0}"
2010-03-11,"{'0001_001': 0, '001_01': 4.898686261411712e-08, '01_1': 1.0688042752171009e-06, '100_1k': 0.00558916054330884, '10_100': 0.8430792073034958, '10k_100k': 0.12180244043642839, '1_10': 1.5337341349365395e-05, '1k_10k': 0.029512736584279668, 'above_100k': 0, 'less_0001': 0}"
2010-03-12,"{'0001_001': 0, '001_01': 4.8855233061668625e-08, '01_1': 1.0659323577091336e-06, '100_1k': 0.005729590726388487, '10_100': 0.8433454109391307, '10k_100k': 0.1214751526726033, '1_10': 1.5296129333126068e-05, '1k_10k': 0.029433434744953472, 'above_100k': 0, 'less_0001': 0}"
2010-03-13,"{'0001_001': 0, '001_01': 4.868980169971671e-08, '01_1': 1.0623229461756374e-06, '100_1k': 0.005710189447592068, '10_100': 0.8430791253541076, '10k_100k': 0.12106381905099148, '1_10': 1.5244334277620395e-05, '1k_10k': 0.030130510800283283, 'above_100k': 0, 'less_0001': 0}"
2010-03-14,"{'0001_001': 0, '001_01': 4.855547462976451e-08, '01_1': 1.0593921737403164e-06, '100_1k': 0.0053192345891544725, '10_100': 0.8433575492727714, '10k_100k': 0.1207298240967578, '1_10': 1.5202277693173541e-05, '1k_10k': 0.03057708181597475, 'above_100k': 0, 'less_0001': 0}"
2010-03-15,"{'0001_001': 0, '001_01': 4.841123140568612e-08, '01_1': 1.0562450488513334e-06, '100_1k': 0.0053034327964087665, '10_100': 0.8438211249009769, '10k_100k': 0.12037117331220841, '1_10': 1.6917524865768856e-05, '1k_10k': 0.030486246809259744, 'above_100k': 0, 'less_0001': 0}"
2010-03-16,"{'0001_001': 0, '001_01': 4.827737546631556e-08, '01_1': 1.053324555628703e-06, '100_1k': 0.005376984858459512, '10_100': 0.8437262936142198, '10k_100k': 0.1200383497915295, '1_10': 1.643186306780777e-05, '1k_10k': 0.030840838270792183, 'above_100k': 0, 'less_0001': 0}"
2010-03-17,"{'0001_001': 0, '001_01': 4.813372423751806e-08, '01_1': 1.050190347000394e-06, '100_1k': 0.0054485012908589685, '10_100': 0.843666196998206, '10k_100k': 0.1196811709622369, '1_10': 1.6382969413206145e-05, '1k_10k': 0.03118664945521376, 'above_100k': 0, 'less_0001': 0}"
2010-03-18,"{'0001_001': 0, '001_01': 4.7986738210530907e-08, '01_1': 1.046983379138856e-06, '100_1k': 0.0055801858395497965, '10_100': 0.8424684203638266, '10k_100k': 0.11931570038825631, '1_10': 1.6332940714566156e-05, '1k_10k': 0.03261826549753522, 'above_100k': 0, 'less_0001': 0}"
2010-03-19,"{'0001_001': 0, '001_01': 4.7827126676666884e-08, '01_1': 1.043500945672732e-06, '100_1k': 0.0055398856496880365, '10_100': 0.840318424313572, '10k_100k': 0.11891883736602968, '1_10': 1.627861475249462e-05, '1k_10k': 0.03520548272788539, 'above_100k': 0, 'less_0001': 0}"
2010-03-20,"{'0001_001': 0, '001_01': 4.7628325864345866e-08, '01_1': 1.0391634734039099e-06, '100_1k': 0.0058965859150050875, '10_100': 0.8395896863025264, '10k_100k': 0.11842453291766793, '1_10': 1.5777965404516032e-05, '1k_10k': 0.036072330107596716, 'above_100k': 0, 'less_0001': 0}"
2010-03-21,"{'0001_001': 0, '001_01': 4.7440376072799425e-08, '01_1': 1.03506275067926e-06, '100_1k': 0.005981135981368871, '10_100': 0.840071747099668, '10k_100k': 0.11795720878078234, '1_10': 1.5715702764480098e-05, '1k_10k': 0.03597310993228965, 'above_100k': 0, 'less_0001': 0}"
2010-03-22,"{'0001_001': 0, '001_01': 4.725796404098554e-08, '01_1': 1.0310828518033209e-06, '100_1k': 0.006301832320151225, '10_100': 0.8398489291774965, '10k_100k': 0.11793327175477411, '1_10': 1.5655274633213755e-05, '1k_10k': 0.03589923313212897, 'above_100k': 0, 'less_0001': 0}"
2010-03-23,"{'0001_001': 0, '001_01': 4.7048759623609915e-08, '01_1': 1.0265183917878526e-06, '100_1k': 0.006757151411462787, '10_100': 0.8389595508982034, '10k_100k': 0.11741119760479038, '1_10': 1.865269461077844e-05, '1k_10k': 0.036852373823780996, 'above_100k': 0, 'less_0001': 0}"
2010-03-24,"{'0001_001': 0, '001_01': 4.687733054910401e-08, '01_1': 1.0227781210713601e-06, '100_1k': 0.0068390701242249255, '10_100': 0.8389710127634186, '10k_100k': 0.11698339264025909, '1_10': 1.8584730774967507e-05, '1k_10k': 0.037186870085870745, 'above_100k': 0, 'less_0001': 0}"
2010-03-25,"{'0001_001': 0, '001_01': 6.366993505666624e-08, '01_1': 1.0187189609066599e-06, '100_1k': 0.0072788403582495, '10_100': 0.8324149539454136, '10k_100k': 0.12288610722017061, '1_10': 1.893543868585254e-05, '1k_10k': 0.037400080648584404, 'above_100k': 0, 'less_0001': 0}"
2010-03-26,"{'0001_001': 0, '001_01': 6.340483990277926e-08, '01_1': 1.0144774384444681e-06, '100_1k': 0.006951740462855332, '10_100': 0.8315487223924761, '10k_100k': 0.12237446053048716, '1_10': 1.976117510303287e-05, '1k_10k': 0.039104237556800175, 'above_100k': 0, 'less_0001': 0}"
2010-03-27,"{'0001_001': 0, '001_01': 6.316720358789716e-08, '01_1': 1.0106752574063546e-06, '100_1k': 0.006567738403554208, '10_100': 0.831747705977723, '10k_100k': 0.12191581075105803, '1_10': 1.9687111784894617e-05, '1k_10k': 0.03974798391341881, 'above_100k': 0, 'less_0001': 0}"
2010-03-28,"{'0001_001': 0, '001_01': 4.614190733866064e-08, '01_1': 1.0067325237525957e-06, '100_1k': 0.006772826611296379, '10_100': 0.8320685123429604, '10k_100k': 0.12144020638016736, '1_10': 1.961031061893077e-05, '1k_10k': 0.03969779148052602, 'above_100k': 0, 'less_0001': 0}"
2010-03-29,"{'0001_001': 0, '001_01': 4.595396248485608e-08, '01_1': 1.0026319087604963e-06, '100_1k': 0.006745239587249864, '10_100': 0.8313530225174416, '10k_100k': 0.12136332038267116, '1_10': 1.9530434056063835e-05, '1k_10k': 0.040517838492710026, 'above_100k': 0, 'less_0001': 0}"
