t,addresses_count
2011-08-19,1779099
2011-08-20,1792093
2011-08-21,1806944
2011-08-22,1823194
2011-08-23,1837284
2011-08-24,1850961
2011-08-25,1865496
2011-08-26,1877898
2011-08-27,1889753
2011-08-28,1901314
2011-08-29,1912727
2011-08-30,1922002
2011-08-31,1930976
2011-09-01,1939697
2011-09-02,1948190
2011-09-03,1955668
2011-09-04,1965658
2011-09-05,1975612
2011-09-06,1985614
2011-09-07,1994396
2011-09-08,2002398
2011-09-09,2011121
2011-09-10,2018416
2011-09-11,2026573
2011-09-12,2034765
2011-09-13,2042764
2011-09-14,2050191
2011-09-15,2058226
2011-09-16,2065950
2011-09-17,2072688
2011-09-18,2079881
2011-09-19,2088302
2011-09-20,2102163
2011-09-21,2111331
2011-09-22,2121977
2011-09-23,2135602
2011-09-24,2148457
2011-09-25,2161696
2011-09-26,2173091
2011-09-27,2185148
2011-09-28,2192195
2011-09-29,2198900
2011-09-30,2205923
2011-10-01,2212287
2011-10-02,2218307
2011-10-03,2225949
2011-10-04,2233298
2011-10-05,2240232
2011-10-06,2247585
2011-10-07,2254517
2011-10-08,2260976
2011-10-09,2267489
2011-10-10,2274619
2011-10-11,2282125
2011-10-12,2289342
2011-10-13,2295579
2011-10-14,2302851
2011-10-15,2309679
2011-10-16,2315710
2011-10-17,2322628
2011-10-18,2328605
2011-10-19,2334638
2011-10-20,2340054
2011-10-21,2346388
2011-10-22,2352610
2011-10-23,2359629
2011-10-24,2366937
2011-10-25,2373490
2011-10-26,2379956
2011-10-27,2385755
2011-10-28,2392308
2011-10-29,2399089
2011-10-30,2405105
2011-10-31,2411294
2011-11-01,2418583
2011-11-02,2425799
2011-11-03,2433242
2011-11-04,2441056
2011-11-05,2448122
2011-11-06,2454190
2011-11-07,2460748
2011-11-08,2468041
2011-11-09,2475887
2011-11-10,2483669
2011-11-11,2489878
2011-11-12,2495966
2011-11-13,2502658
2011-11-14,2509706
2011-11-15,2516931
2011-11-16,2524154
2011-11-17,2530111
2011-11-18,2536621
2011-11-19,2541032
2011-11-20,2545846
2011-11-21,2550507
2011-11-22,2555839
2011-11-23,2561075
2011-11-24,2565878
2011-11-25,2571228
2011-11-26,2575837
2011-11-27,2580851
2011-11-28,2587177
2011-11-29,2594829
2011-11-30,2601995
2011-12-01,2609084
2011-12-02,2615796
2011-12-03,2621312
2011-12-04,2626865
2011-12-05,2633212
2011-12-06,2641219
2011-12-07,2647437
2011-12-08,2652685
2011-12-09,2658023
2011-12-10,2663462
2011-12-11,2668438
2011-12-12,2673089
2011-12-13,2678913
2011-12-14,2684068
2011-12-15,2688431
2011-12-16,2693247
2011-12-17,2697780
2011-12-18,2702021
2011-12-19,2707760
2011-12-20,2713923
2011-12-21,2719030
2011-12-22,2724415
2011-12-23,2729874
2011-12-24,2734143
2011-12-25,2739196
2011-12-26,2744740
2011-12-27,2750028
2011-12-28,2754511
2011-12-29,2759551
2011-12-30,2763974
2011-12-31,2768496
2012-01-01,2773046
2012-01-02,2778133
2012-01-03,2783446
2012-01-04,2788769
2012-01-05,2795727
2012-01-06,2802189
2012-01-07,2807785
2012-01-08,2813927
2012-01-09,2819771
2012-01-10,2826679
2012-01-11,2833528
2012-01-12,2839658
2012-01-13,2846177
2012-01-14,2852675
2012-01-15,2858823
2012-01-16,2865117
2012-01-17,2871555
2012-01-18,2878043
2012-01-19,2884636
2012-01-20,2890991
2012-01-21,2896620
2012-01-22,2901161
2012-01-23,2906543
2012-01-24,2913390
2012-01-25,2921070
2012-01-26,2927146
2012-01-27,2933260
2012-01-28,2938636
2012-01-29,2944384
2012-01-30,2950086
2012-01-31,2956865
2012-02-01,2963006
2012-02-02,2969842
2012-02-03,2976794
2012-02-04,2984085
2012-02-05,2990582
2012-02-06,2996496
2012-02-07,3003256
2012-02-08,3009815
2012-02-09,3016790
2012-02-10,3024438
2012-02-11,3031496
2012-02-12,3037931
2012-02-13,3045496
2012-02-14,3054690
2012-02-15,3063639
2012-02-16,3072879
2012-02-17,3079486
2012-02-18,3085858
2012-02-19,3091849
2012-02-20,3098248
2012-02-21,3104632
2012-02-22,3111761
2012-02-23,3119690
2012-02-24,3126741
2012-02-25,3132554
2012-02-26,3137990
2012-02-27,3144300
2012-02-28,3150879
2012-02-29,3157430
2012-03-01,3164455
2012-03-02,3172133
2012-03-03,3177468
2012-03-04,3184310
2012-03-05,3191533
2012-03-06,3198028
2012-03-07,3204904
2012-03-08,3211666
2012-03-09,3218133
2012-03-10,3223224
2012-03-11,3228469
2012-03-12,3234442
2012-03-13,3242008
2012-03-14,3248890
2012-03-15,3255446
2012-03-16,3262302
2012-03-17,3269674
2012-03-18,3275832
2012-03-19,3282406
2012-03-20,3289280
2012-03-21,3296393
2012-03-22,3302828
2012-03-23,3308834
2012-03-24,3314884
2012-03-25,3320910
2012-03-26,3327552
2012-03-27,3334167
2012-03-28,3341482
2012-03-29,3348940
2012-03-30,3355537
2012-03-31,3361511
2012-04-01,3366645
2012-04-02,3372927
2012-04-03,3381042
2012-04-04,3388499
2012-04-05,3395765
2012-04-06,3402493
2012-04-07,3408503
2012-04-08,3414584
2012-04-09,3421285
2012-04-10,3429442
2012-04-11,3438000
2012-04-12,3446657
2012-04-13,3453718
2012-04-14,3461828
2012-04-15,3469367
2012-04-16,3477901
2012-04-17,3485977
2012-04-18,3494935
2012-04-19,3502830
2012-04-20,3511461
2012-04-21,3518827
2012-04-22,3525319
2012-04-23,3532732
2012-04-24,3540712
2012-04-25,3548590
2012-04-26,3558097
2012-04-27,3565496
2012-04-28,3572531
2012-04-29,3579417
2012-04-30,3588699
2012-05-01,3597623
2012-05-02,3607048
2012-05-03,3617926
2012-05-04,3628557
2012-05-05,3638462
2012-05-06,3647293
2012-05-07,3660526
2012-05-08,3673046
2012-05-09,3686200
2012-05-10,3695972
2012-05-11,3710224
2012-05-12,3722993
2012-05-13,3733412
2012-05-14,3754045
2012-05-15,3769526
2012-05-16,3782775
2012-05-17,3795045
2012-05-18,3811078
2012-05-19,3832020
2012-05-20,3851127
2012-05-21,3870553
2012-05-22,3886627
2012-05-23,3904378
2012-05-24,3921562
2012-05-25,3939881
2012-05-26,3954795
2012-05-27,3970988
2012-05-28,3988775
2012-05-29,4008877
2012-05-30,4025562
2012-05-31,4042014
2012-06-01,4059080
2012-06-02,4069231
2012-06-03,4088898
2012-06-04,4116128
2012-06-05,4143244
2012-06-06,4155786
2012-06-07,4176118
2012-06-08,4191102
2012-06-09,4209507
2012-06-10,4231337
2012-06-11,4250804
2012-06-12,4262519
2012-06-13,4294727
2012-06-14,4325424
2012-06-15,4355946
2012-06-16,4381473
2012-06-17,4407282
2012-06-18,4431870
2012-06-19,4453575
2012-06-20,4471833
2012-06-21,4488676
2012-06-22,4504879
2012-06-23,4520763
2012-06-24,4536725
2012-06-25,4556898
2012-06-26,4578935
2012-06-27,4602573
2012-06-28,4622202
2012-06-29,4641741
2012-06-30,4660919
2012-07-01,4680060
2012-07-02,4701932
2012-07-03,4721481
2012-07-04,4739019
2012-07-05,4754347
2012-07-06,4770919
2012-07-07,4790578
2012-07-08,4806549
2012-07-09,4825185
2012-07-10,4848731
2012-07-11,4869861
2012-07-12,4890385
2012-07-13,4907689
2012-07-14,4925254
2012-07-15,4943503
2012-07-16,4966656
2012-07-17,4992030
2012-07-18,5012442
2012-07-19,5032760
2012-07-20,5055663
2012-07-21,5078607
2012-07-22,5104069
2012-07-23,5129619
2012-07-24,5150328
2012-07-25,5168417
2012-07-26,5186275
2012-07-27,5204637
2012-07-28,5228700
2012-07-29,5249235
2012-07-30,5270777
2012-07-31,5305793
2012-08-01,5329479
2012-08-02,5354233
2012-08-03,5375423
2012-08-04,5395664
2012-08-05,5418297
2012-08-06,5444709
2012-08-07,5468584
2012-08-08,5499228
2012-08-09,5521327
2012-08-10,5543537
2012-08-11,5565990
2012-08-12,5589867
2012-08-13,5620479
2012-08-14,5645426
2012-08-15,5674152
2012-08-16,5712897
2012-08-17,5748086
2012-08-18,5780719
2012-08-19,5807810
2012-08-20,5832996
2012-08-21,5865145
2012-08-22,5894716
2012-08-23,5921321
2012-08-24,5947582
2012-08-25,5969643
2012-08-26,5989199
2012-08-27,6011218
2012-08-28,6032360
2012-08-29,6055912
2012-08-30,6076306
2012-08-31,6106181
2012-09-01,6133933
2012-09-02,6154332
2012-09-03,6174231
2012-09-04,6198266
2012-09-05,6223959
2012-09-06,6252047
2012-09-07,6276233
2012-09-08,6295678
2012-09-09,6319650
2012-09-10,6341145
2012-09-11,6367699
2012-09-12,6386651
2012-09-13,6405288
2012-09-14,6426636
2012-09-15,6443477
2012-09-16,6460231
2012-09-17,6477099
2012-09-18,6499367
2012-09-19,6524073
2012-09-20,6551950
2012-09-21,6570906
2012-09-22,6584278
2012-09-23,6598842
2012-09-24,6616616
2012-09-25,6641542
2012-09-26,6668469
2012-09-27,6690624
2012-09-28,6716855
2012-09-29,6735109
2012-09-30,6751340
2012-10-01,6769547
2012-10-02,6798449
2012-10-03,6822678
2012-10-04,6850242
2012-10-05,6876251
2012-10-06,6899641
2012-10-07,6924215
2012-10-08,6952389
2012-10-09,6980865
2012-10-10,7006928
2012-10-11,7029371
2012-10-12,7054612
2012-10-13,7075715
2012-10-14,7097495
2012-10-15,7121053
2012-10-16,7143122
2012-10-17,7168538
2012-10-18,7192452
2012-10-19,7212370
2012-10-20,7235050
2012-10-21,7257023
2012-10-22,7280568
2012-10-23,7300095
2012-10-24,7321145
2012-10-25,7340544
2012-10-26,7358870
2012-10-27,7372903
2012-10-28,7386052
2012-10-29,7399969
2012-10-30,7418716
2012-10-31,7436318
2012-11-01,7451901
2012-11-02,7469190
2012-11-03,7486625
2012-11-04,7501682
2012-11-05,7519851
2012-11-06,7540248
2012-11-07,7562783
2012-11-08,7581604
2012-11-09,7600031
2012-11-10,7616265
2012-11-11,7631052
2012-11-12,7647401
2012-11-13,7664831
2012-11-14,7685367
2012-11-15,7711178
2012-11-16,7737724
2012-11-17,7766897
2012-11-18,7791339
2012-11-19,7814791
2012-11-20,7839595
2012-11-21,7863628
2012-11-22,7886171
2012-11-23,7903385
2012-11-24,7921826
2012-11-25,7940119
2012-11-26,7961283
2012-11-27,7980510
2012-11-28,8002300
2012-11-29,8023297
2012-11-30,8042233
2012-12-01,8059982
2012-12-02,8072919
2012-12-03,8087311
2012-12-04,8107742
2012-12-05,8130528
2012-12-06,8152736
2012-12-07,8174164
2012-12-08,8195403
2012-12-09,8215850
2012-12-10,8232918
2012-12-11,8253293
2012-12-12,8275457
2012-12-13,8301264
2012-12-14,8324479
2012-12-15,8343770
2012-12-16,8363564
2012-12-17,8387496
2012-12-18,8416612
2012-12-19,8441113
2012-12-20,8462376
2012-12-21,8488539
2012-12-22,8524064
2012-12-23,8544764
2012-12-24,8565071
2012-12-25,8581823
2012-12-26,8598326
2012-12-27,8617140
2012-12-28,8640728
2012-12-29,8660694
2012-12-30,8688638
2012-12-31,8707389
2013-01-01,8727440
2013-01-02,8751648
2013-01-03,8781926
2013-01-04,8807659
2013-01-05,8835133
2013-01-06,8855913
2013-01-07,8880473
2013-01-08,8906197
2013-01-09,8933800
2013-01-10,8964394
2013-01-11,8998183
2013-01-12,9023157
2013-01-13,9051239
2013-01-14,9074946
2013-01-15,9104782
2013-01-16,9137669
2013-01-17,9168326
2013-01-18,9199396
2013-01-19,9225632
2013-01-20,9250635
2013-01-21,9273670
2013-01-22,9300837
2013-01-23,9326444
2013-01-24,9355098
2013-01-25,9383889
2013-01-26,9415353
2013-01-27,9444402
2013-01-28,9471772
2013-01-29,9500449
2013-01-30,9523875
2013-01-31,9549314
2013-02-01,9584482
2013-02-02,9615877
2013-02-03,9646015
2013-02-04,9675493
2013-02-05,9708367
2013-02-06,9737110
2013-02-07,9768833
2013-02-08,9801613
2013-02-09,9831392
2013-02-10,9864990
2013-02-11,9893270
2013-02-12,9922419
2013-02-13,9950861
2013-02-14,9977770
2013-02-15,10004774
2013-02-16,10028505
2013-02-17,10052962
2013-02-18,10078868
2013-02-19,10105325
2013-02-20,10132424
2013-02-21,10161249
2013-02-22,10192566
2013-02-23,10222356
2013-02-24,10251868
2013-02-25,10280859
2013-02-26,10312318
2013-02-27,10339896
2013-02-28,10370608
2013-03-01,10405142
2013-03-02,10429604
2013-03-03,10452557
2013-03-04,10479688
2013-03-05,10510551
2013-03-06,10546153
2013-03-07,10580024
2013-03-08,10610693
2013-03-09,10637493
2013-03-10,10667792
2013-03-11,10693668
2013-03-12,10723636
2013-03-13,10756462
2013-03-14,10787401
2013-03-15,10822525
2013-03-16,10846386
2013-03-17,10871827
2013-03-18,10902074
2013-03-19,10936878
2013-03-20,10968222
2013-03-21,11001470
2013-03-22,11039938
2013-03-23,11071245
2013-03-24,11111099
2013-03-25,11144470
2013-03-26,11180269
2013-03-27,11217613
2013-03-28,11259035
2013-03-29,11304723
2013-03-30,11344562
2013-03-31,11374165
2013-04-01,11411455
2013-04-02,11459656
2013-04-03,11513618
2013-04-04,11570050
2013-04-05,11626102
2013-04-06,11667251
2013-04-07,11707174
2013-04-08,11766390
2013-04-09,11827413
2013-04-10,11901142
2013-04-11,11962663
2013-04-12,12015976
2013-04-13,12059105
2013-04-14,12093182
2013-04-15,12138718
2013-04-16,12191313
2013-04-17,12243165
2013-04-18,12285812
2013-04-19,12338421
2013-04-20,12375814
2013-04-21,12409323
2013-04-22,12450727
2013-04-23,12499448
2013-04-24,12548699
2013-04-25,12595302
2013-04-26,12638107
2013-04-27,12678061
2013-04-28,12756948
2013-04-29,12797151
2013-04-30,12829421
2013-05-01,12869367
2013-05-02,12907678
2013-05-03,12943863
2013-05-04,12974713
2013-05-05,13006667
2013-05-06,13042733
