t,ma128,ma14,ma200,ma25,ma40,ma60,ma9,ma90
2011-11-04,7155979348437876.0,5899772155383397.0,5254766283422532.0,6192421159481036.0,6598223190123467.0,6923178947698723.0,5674172606124048.0,7222985858633380.0
2011-11-05,7150082815960908.0,5818556317650032.0,5278627282086429.0,6108948903322273.0,6538956571983493.0,6882068053630781.0,5547836858538814.0,7190280886268625.0
2011-11-06,7144186283483941.0,5737340479916667.0,5302488280750327.0,6025476647163511.0,6486786411884266.0,6840957159562838.0,5421501110953580.0,7157575913903872.0
2011-11-07,7138289751006973.0,5656124642183302.0,5326349279414224.0,5942004391004748.0,6434616251785039.0,6799846265494896.0,5295165363368345.0,7124870941539118.0
2011-11-08,7132393218530005.0,5574908804449937.0,5350210278078121.0,5896523521874063.0,6382446091685812.0,6758735371426953.0,5168829615783111.0,7092165969174363.0
2011-11-09,7126496686053037.0,5493692966716571.0,5374071276742018.0,5851042652743378.0,6330275931586584.0,6717624477359009.0,5168829615783111.0,7059460996809609.0
2011-11-10,7120600153576070.0,5412477128983207.0,5397932275405916.0,5805561783612694.0,6278105771487357.0,6676513583291067.0,5168829615783111.0,7026756024444855.0
2011-11-11,7108535118339597.0,5331261291249841.0,5421793274069812.0,5760080914482010.0,6225935611388130.0,6635402689223124.0,5168829615783111.0,6994051052080101.0
2011-11-12,7096470083103125.0,5250045453516477.0,5445654272733710.0,5714600045351325.0,6173765451288902.0,6595891610463141.0,5168829615783111.0,6961346079715348.0
2011-11-13,7084405047866652.0,5168829615783111.0,5469515271397607.0,5669119176220641.0,6121595291189675.0,6556380531703158.0,5168829615783111.0,6932606119470585.0
2011-11-14,7071972115922404.0,5165465988740595.0,5493140816168528.0,5621754675946147.0,6068247861625567.0,6516084606633254.0,5163597307050308.0,6903342928352542.0
2011-11-15,7059539183978157.0,5162102361698080.0,5516766360939450.0,5574390175671654.0,6014900432061459.0,6475788681563351.0,5158364998317507.0,6874079737234500.0
