t,volumes
2012-11-22,"{'SlushPool': 9.67571255, 'other': 10.9595241889405}"
2012-11-23,"{'SlushPool': 3.66358644, 'other': 0.68}"
2012-11-24,"{'SlushPool': 5.37373585, 'other': 6.42}"
2012-11-25,"{'SlushPool': 6.24465436, 'other': 9.23237490818779}"
2012-11-26,"{'SlushPool': 2.8322091, 'other': 55.4171280699425}"
2012-11-27,"{'BitMinter': 0.10493343, 'SlushPool': 2.66527992, 'other': 3.83153697149285}"
2012-11-28,"{'BitMinter': 1.00116874, 'SlushPool': 4.69684591, 'other': 0.579915809853217}"
2012-11-29,"{'SlushPool': 0.72723858, 'other': 16.97453521}"
2012-11-30,"{'SlushPool': 3.56892463, 'other': 1.8087228}"
2012-12-01,{'SlushPool': 2.01951043}
2012-12-02,{'other': 1.24}
2012-12-03,{'SlushPool': 3.00865659}
2012-12-04,"{'SlushPool': 2.06836557, 'other': 12.8830579444876}"
2012-12-05,{'other': 0.08045878}
2012-12-06,"{'SlushPool': 0.20019894, 'other': 1.1}"
2012-12-07,"{'SlushPool': 0.12899724, 'other': 0.4444828698226}"
2012-12-08,{'SlushPool': 2.00092376}
2012-12-09,"{'SlushPool': 2.04484909, 'other': 1.55788191}"
2012-12-10,"{'BitMinter': 0.1086702, 'SlushPool': 0.12135808}"
2012-12-11,"{'SlushPool': 2.08623821, 'other': 1.939864306337}"
2012-12-12,{'BitMinter': 0.11744625}
2012-12-13,{'SlushPool': 2.24023892}
2012-12-14,{'other': 0.579196574462038}
2012-12-15,"{'SlushPool': 2.05251119, 'other': 2.23008910358723}"
2012-12-16,"{'BitMinter': 0.11916421, 'SlushPool': 5.0272845, 'other': 0.186211103099768}"
2012-12-17,"{'BitMinter': 0.10447506, 'other': 0.0319619838241168}"
2012-12-18,"{'BitMinter': 0.21282583, 'SlushPool': 2.05476883, 'other': 2.82897014750817}"
2012-12-19,{'other': 2.80481929144937}
2012-12-20,"{'SlushPool': 0.20105893, 'other': 40.7859202845891}"
2012-12-21,{'BitMinter': 0.02002252}
2012-12-22,"{'SlushPool': 2.21451291, 'other': 0.68950762596236}"
2012-12-23,"{'SlushPool': 10.01123074, 'other': 11.490751970586}"
2012-12-24,{'SlushPool': 2.00496284}
2012-12-25,"{'SlushPool': 2.02536118, 'other': 1.43484905685389}"
2012-12-26,{'other': 11.9}
2012-12-27,"{'SlushPool': 2.01979219, 'other': 15.2617562070745}"
2012-12-28,{'other': 5.40024300065601}
2012-12-29,"{'SlushPool': 5.41448766, 'other': 1.98513614713488}"
2012-12-30,"{'SlushPool': 2.03588651, 'other': 5.92072427644915}"
2012-12-31,{'other': 1.32962853704229}
2013-01-01,"{'SlushPool': 1.75780967, 'other': 2.02}"
2013-01-02,"{'SlushPool': 1.91130162, 'other': 7.09923467588636}"
2013-01-03,"{'SlushPool': 2.17505137, 'other': 2}"
2013-01-04,"{'SlushPool': 0.42904923, 'other': 0.0225457196436616}"
2013-01-05,"{'SlushPool': 6.96010994, 'other': 1.67450618140299}"
2013-01-06,"{'SlushPool': 2.16190853, 'other': 15.33568168574}"
2013-01-07,"{'SlushPool': 5.19594164, 'other': 24.0321870064428}"
2013-01-09,"{'BitMinter': 1.00738083, 'other': 3.81698207454082}"
2013-01-10,"{'SlushPool': 1.72492728, 'other': 2.22568225737969}"
2013-01-11,"{'SlushPool': 0.20088851, 'other': 1.66551676423137}"
2013-01-13,"{'SlushPool': 1.73392157, 'other': 3.51186052663025}"
2013-01-14,"{'SlushPool': 1.79511363, 'other': 4.68082797887668}"
2013-01-15,"{'SlushPool': 11.44618111, 'other': 2.41943281388755}"
2013-01-16,"{'SlushPool': 1.74032218, 'other': 5.7997286245041}"
2013-01-17,"{'SlushPool': 1.12595117, 'other': 21.6786710991232}"
2013-01-18,"{'BitMinter': 5.00432182, 'SlushPool': 1.68279766, 'other': 31.2343385354333}"
2013-01-19,"{'SlushPool': 4.73613709, 'other': 15.3670977981115}"
2013-01-20,"{'SlushPool': 0.78006569, 'other': 3.81757354677645}"
2013-01-21,"{'SlushPool': 1.53191515, 'other': 14.8689409348515}"
2013-01-22,"{'SlushPool': 1.46041249, 'other': 3.2845773807406}"
2013-01-23,"{'SlushPool': 1.14438693, 'other': 8.6802901649779}"
2013-01-24,"{'SlushPool': 1.50945082, 'other': 77.3509842864698}"
2013-01-25,"{'BitMinter': 1.00452796, 'SlushPool': 0.72763862, 'other': 4.68485322206585}"
2013-01-26,"{'SlushPool': 4.1210047, 'other': 8.61412109099854}"
2013-01-27,"{'SlushPool': 1.4913576, 'other': 1.78251562830624}"
2013-01-28,"{'SlushPool': 2.61328945, 'other': 32.3423650849163}"
2013-01-29,"{'SlushPool': 1.20945844, 'other': 2.94669674291899}"
