t,transactions_entity_adjusted_count
2012-02-01,6166
2012-02-02,6737
2012-02-03,6706
2012-02-04,6751
2012-02-05,6326
2012-02-06,5740
2012-02-07,6446
2012-02-08,6291
2012-02-09,6580
2012-02-10,6778
2012-02-11,6134
2012-02-12,6029
2012-02-13,6882
2012-02-14,7770
2012-02-15,7321
2012-02-16,6991
2012-02-17,6337
2012-02-18,6100
2012-02-19,5570
2012-02-20,5976
2012-02-21,6171
2012-02-22,6787
2012-02-23,7250
2012-02-24,6532
2012-02-25,5964
2012-02-26,5592
2012-02-27,6334
2012-02-28,6311
2012-02-29,6391
2012-03-01,6413
2012-03-02,7333
2012-03-03,4899
2012-03-04,6321
2012-03-05,6608
2012-03-06,6090
2012-03-07,6279
2012-03-08,6279
2012-03-09,6186
2012-03-10,5060
2012-03-11,4950
2012-03-12,5759
2012-03-13,6984
2012-03-14,6597
2012-03-15,6062
2012-03-16,6611
2012-03-17,6564
2012-03-18,5751
2012-03-19,6331
2012-03-20,6508
2012-03-21,6639
2012-03-22,6300
2012-03-23,5888
2012-03-24,6005
2012-03-25,5979
2012-03-26,6286
2012-03-27,6301
2012-03-28,6829
2012-03-29,7089
2012-03-30,6395
2012-03-31,5897
2012-04-01,5252
2012-04-02,6130
2012-04-03,7306
2012-04-04,6811
2012-04-05,6743
2012-04-06,6412
2012-04-07,5831
2012-04-08,5607
2012-04-09,6252
2012-04-10,7610
2012-04-11,7456
2012-04-12,7665
2012-04-13,6670
2012-04-14,7437
2012-04-15,6761
2012-04-16,7637
2012-04-17,7258
2012-04-18,7984
2012-04-19,7176
2012-04-20,7774
2012-04-21,6741
2012-04-22,5951
2012-04-23,6669
2012-04-24,7140
2012-04-25,6670
2012-04-26,8942
2012-04-27,6722
2012-04-28,6712
2012-04-29,6600
2012-04-30,7358
2012-05-01,7599
2012-05-02,8118
2012-05-03,9379
2012-05-04,9535
2012-05-05,8139
2012-05-06,7986
2012-05-07,10496
2012-05-08,9884
2012-05-09,10339
2012-05-10,8629
2012-05-11,10133
2012-05-12,8581
2012-05-13,8494
2012-05-14,10730
2012-05-15,9676
2012-05-16,9346
2012-05-17,9306
2012-05-18,10316
2012-05-19,12615
2012-05-20,11963
2012-05-21,12503
2012-05-22,12416
2012-05-23,12859
2012-05-24,12672
2012-05-25,13137
2012-05-26,11328
2012-05-27,10724
2012-05-28,12470
2012-05-29,13658
2012-05-30,12814
2012-05-31,11164
2012-06-01,11743
2012-06-02,8742
2012-06-03,14408
2012-06-04,17904
2012-06-05,18592
2012-06-06,11065
2012-06-07,16892
2012-06-08,14686
2012-06-09,16329
2012-06-10,17816
2012-06-11,16579
2012-06-12,14698
2012-06-13,33078
2012-06-14,35084
2012-06-15,26175
2012-06-16,21760
2012-06-17,24777
2012-06-18,19373
2012-06-19,18196
2012-06-20,19932
2012-06-21,16233
2012-06-22,15086
2012-06-23,14300
2012-06-24,12927
2012-06-25,16640
2012-06-26,19330
2012-06-27,21426
2012-06-28,17451
2012-06-29,17259
2012-06-30,16693
2012-07-01,15063
2012-07-02,18402
2012-07-03,16642
2012-07-04,15674
2012-07-05,13782
2012-07-06,14599
2012-07-07,16248
2012-07-08,14209
2012-07-09,17026
2012-07-10,20662
2012-07-11,18943
2012-07-12,16948
2012-07-13,15775
2012-07-14,15504
2012-07-15,14876
