t,o
2010-04-15,"{'crossed': 0, 'ma30': 50053411.8852986, 'ma60': 40104023.18193148}"
2010-04-16,"{'crossed': 0, 'ma30': 51716043.73236624, 'ma60': 41079097.60392801}"
2010-04-17,"{'crossed': 0, 'ma30': 53473789.24925504, 'ma60': 42057725.33074483}"
2010-04-18,"{'crossed': 0, 'ma30': 55453435.75362553, 'ma60': 43116313.56980817}"
2010-04-19,"{'crossed': 0, 'ma30': 57054212.20645813, 'ma60': 44172310.92242846}"
2010-04-20,"{'crossed': 0, 'ma30': 58313798.97203704, 'ma60': 45083807.89051645}"
2010-04-21,"{'crossed': 0, 'ma30': 59885711.201065145, 'ma60': 46106082.9931183}"
2010-04-22,"{'crossed': 0, 'ma30': 61333435.146067426, 'ma60': 47151169.297779046}"
2010-04-23,"{'crossed': 0, 'ma30': 62893008.844300374, 'ma60': 48030736.16545226}"
2010-04-24,"{'crossed': 0, 'ma30': 64658337.08158644, 'ma60': 49099256.26907277}"
2010-04-25,"{'crossed': 0, 'ma30': 66175428.568149805, 'ma60': 50147493.58929547}"
2010-04-26,"{'crossed': 0, 'ma30': 67916571.99343486, 'ma60': 51213750.53753899}"
2010-04-27,"{'crossed': 0, 'ma30': 69940926.38331902, 'ma60': 52384020.30023036}"
2010-04-28,"{'crossed': 0, 'ma30': 71913896.25428881, 'ma60': 53517952.75845142}"
2010-04-29,"{'crossed': 0, 'ma30': 73209475.88922691, 'ma60': 54407569.24881322}"
2010-04-30,"{'crossed': 0, 'ma30': 74512133.26460044, 'ma60': 55189470.74192892}"
2010-05-01,"{'crossed': 0, 'ma30': 76462488.80660184, 'ma60': 56307957.87144999}"
2010-05-02,"{'crossed': 0, 'ma30': 77788486.24843886, 'ma60': 57281421.58055667}"
2010-05-03,"{'crossed': 0, 'ma30': 79180028.11096777, 'ma60': 58205897.8821857}"
2010-05-04,"{'crossed': 0, 'ma30': 80182516.43035617, 'ma60': 59025068.85202702}"
2010-05-05,"{'crossed': 0, 'ma30': 81546226.62078206, 'ma60': 59941745.53272502}"
2010-05-06,"{'crossed': 0, 'ma30': 83105839.81065851, 'ma60': 60958257.82055204}"
2010-05-07,"{'crossed': 0, 'ma30': 83938178.14557044, 'ma60': 61888849.990599275}"
2010-05-08,"{'crossed': 0, 'ma30': 85410891.97841123, 'ma60': 62997623.06838323}"
2010-05-09,"{'crossed': 0, 'ma30': 86490011.23782246, 'ma60': 63876463.75049992}"
2010-05-10,"{'crossed': 0, 'ma30': 86593900.8888884, 'ma60': 64755423.759010874}"
2010-05-11,"{'crossed': 0, 'ma30': 86793160.384314, 'ma60': 65512744.685541004}"
2010-05-12,"{'crossed': 0, 'ma30': 87054835.5302748, 'ma60': 66211315.179663785}"
2010-05-13,"{'crossed': 0, 'ma30': 87326323.11527544, 'ma60': 67109642.94284433}"
2010-05-14,"{'crossed': 0, 'ma30': 87601491.79844205, 'ma60': 67903413.21791072}"
2010-05-15,"{'crossed': 0, 'ma30': 86760803.71306458, 'ma60': 68407107.79918155}"
2010-05-16,"{'crossed': 0, 'ma30': 86596602.49017826, 'ma60': 69156323.11127223}"
2010-05-17,"{'crossed': 0, 'ma30': 86658449.60565677, 'ma60': 70066119.42745587}"
2010-05-18,"{'crossed': 0, 'ma30': 87134336.31668064, 'ma60': 71293886.03515308}"
2010-05-19,"{'crossed': 0, 'ma30': 87496262.4876118, 'ma60': 72275237.34703495}"
2010-05-20,"{'crossed': 0, 'ma30': 88763167.42474985, 'ma60': 73538483.19839343}"
2010-05-21,"{'crossed': 0, 'ma30': 89306593.49159381, 'ma60': 74596152.34632947}"
2010-05-22,"{'crossed': 0, 'ma30': 89885471.22186603, 'ma60': 75609453.1839667}"
2010-05-23,"{'crossed': 0, 'ma30': 91150417.47752498, 'ma60': 77021713.16091266}"
2010-05-24,"{'crossed': 0, 'ma30': 91674960.94197233, 'ma60': 78166649.01177935}"
2010-05-25,"{'crossed': 0, 'ma30': 92794859.42746404, 'ma60': 79485143.99780689}"
2010-05-26,"{'crossed': 0, 'ma30': 93986759.7847323, 'ma60': 80951665.88908355}"
2010-05-27,"{'crossed': 0, 'ma30': 94321527.30387756, 'ma60': 82131226.84359828}"
2010-05-28,"{'crossed': 0, 'ma30': 95316416.70000309, 'ma60': 83615156.47714593}"
2010-05-29,"{'crossed': 0, 'ma30': 96670693.6552417, 'ma60': 84940084.77223428}"
2010-05-30,"{'crossed': 0, 'ma30': 97944914.23951483, 'ma60': 86228523.75205763}"
2010-05-31,"{'crossed': 0, 'ma30': 98434505.0606411, 'ma60': 87448496.93362145}"
2010-06-01,"{'crossed': 0, 'ma30': 99233016.40304512, 'ma60': 88510751.32574199}"
2010-06-02,"{'crossed': 0, 'ma30': 100163754.6363869, 'ma60': 89671891.37367731}"
2010-06-03,"{'crossed': 0, 'ma30': 101613371.0888019, 'ma60': 90897943.75957902}"
2010-06-04,"{'crossed': 0, 'ma30': 101932110.62720187, 'ma60': 91739168.62399194}"
2010-06-05,"{'crossed': 0, 'ma30': 102805888.1106042, 'ma60': 92955863.96063136}"
2010-06-06,"{'crossed': 0, 'ma30': 104058571.22051862, 'ma60': 93998374.68304454}"
2010-06-07,"{'crossed': 0, 'ma30': 105033728.14671032, 'ma60': 95222310.06256078}"
2010-06-08,"{'crossed': 0, 'ma30': 106425004.63460752, 'ma60': 96457507.93621498}"
2010-06-09,"{'crossed': 0, 'ma30': 107989735.74664725, 'ma60': 97291818.31776783}"
2010-06-10,"{'crossed': 0, 'ma30': 109713929.71941403, 'ma60': 98253545.05186401}"
2010-06-11,"{'crossed': 0, 'ma30': 111872124.25454381, 'ma60': 99463479.89240931}"
2010-06-12,"{'crossed': 0, 'ma30': 112945830.71454006, 'ma60': 100136076.91490775}"
2010-06-13,"{'crossed': 0, 'ma30': 115274032.57165423, 'ma60': 101437762.18504815}"
2010-06-14,"{'crossed': 0, 'ma30': 117814818.54128951, 'ma60': 102287811.12717704}"
2010-06-15,"{'crossed': 0, 'ma30': 120580235.52968317, 'ma60': 103588419.00993074}"
2010-06-16,"{'crossed': 0, 'ma30': 121876415.78990501, 'ma60': 104267432.69778089}"
2010-06-17,"{'crossed': 0, 'ma30': 122465541.7654782, 'ma60': 104799939.04107945}"
2010-06-18,"{'crossed': 0, 'ma30': 123204963.07646903, 'ma60': 105350612.78204045}"
2010-06-19,"{'crossed': 0, 'ma30': 123637183.85853635, 'ma60': 106200175.64164314}"
2010-06-20,"{'crossed': 0, 'ma30': 125267239.5953059, 'ma60': 107286916.54344988}"
2010-06-21,"{'crossed': 0, 'ma30': 125827984.3282787, 'ma60': 107856727.77507238}"
2010-06-22,"{'crossed': 0, 'ma30': 126138197.20124465, 'ma60': 108644307.33938482}"
2010-06-23,"{'crossed': 0, 'ma30': 127788360.20946625, 'ma60': 109731660.5757193}"
2010-06-24,"{'crossed': 0, 'ma30': 128713256.99873693, 'ma60': 110754058.2131005}"
2010-06-25,"{'crossed': 0, 'ma30': 129088749.02475756, 'ma60': 111537754.40474494}"
2010-06-26,"{'crossed': 0, 'ma30': 130270523.53994092, 'ma60': 112296025.42190924}"
2010-06-27,"{'crossed': 0, 'ma30': 131527982.710472, 'ma60': 113422199.70523754}"
2010-06-28,"{'crossed': 0, 'ma30': 132282680.302774, 'ma60': 114476686.97900786}"
2010-06-29,"{'crossed': 0, 'ma30': 133667606.19417281, 'ma60': 115806260.21684383}"
2010-06-30,"{'crossed': 0, 'ma30': 135580189.13998097, 'ma60': 117007347.10031103}"
2010-07-01,"{'crossed': 0, 'ma30': 138518427.01427186, 'ma60': 118875721.70865844}"
2010-07-02,"{'crossed': 0, 'ma30': 139334201.15731493, 'ma60': 119748977.89685087}"
2010-07-03,"{'crossed': 0, 'ma30': 141659906.86793038, 'ma60': 121636638.97836612}"
2010-07-04,"{'crossed': 0, 'ma30': 143725068.78736258, 'ma60': 122828589.70728217}"
